name,field,phone,address,zip,city
ACKERMAN INSTITUTE FOR THE FAMILY,Mental Health Services,212-879-4900,"936 BROADWAY FL 2, NEW YORK, NY, 10010",10010,NEW YORK
FIFTH AVE CTR COUNSELING CENTER INC,Mental Health Services,212-989-2990,"5 E 17TH ST FL 2, NEW YORK, NY, 10003",10003,NEW YORK
HUDSON GUILD COUSELING SERVICE,Mental Health Services,212-760-9822,"441 W 26TH ST, NEW YORK, NY, 10001",10001,NEW YORK
JEWISH BOARD OF FAM & CHILDREN SVCS,Mental Health Services,718-246-9875,"135 W 50TH ST, NEW YORK, NY, 10020",10020,NEW YORK
COVENANT HOUSE,Mental Health Services,212-613-0315,"460 W 41ST ST, NEW YORK, NY, 10036",10036,NEW YORK
CALLEN-LORDE THEA SPYER CTR F INT H,Mental Health Services,212-271-7200,"230 W 17TH ST FL 5, NEW YORK, NY, 10011",10011,NEW YORK
THE INSTITUTE FOR FAMILY HEALTH,Mental Health Services,212-206-5200,"INSTIT FOR FAM HLTH 17 ST 230 W 17TH ST, NEW YORK, NY, 10011",10011,NEW YORK
COMMUNITY ACCESS INC,Mental Health Services,212-780-1400,"CRISIS RESPITE CTR 315 2ND AVE, NEW YORK, NY, 10003",10003,NEW YORK
COMMUNITY HEALTH PROJECT,"Mental Health Services, Mental Health Services",212-271-7280,"COMMUNITY HEALTH PROJECT 356 W 18TH ST, NEW YORK, NY, 10011",10011,NEW YORK
CALLEN LORDE,Mental Health Services,212-271-7200,"CALLEN LORDE HLTH CTR 356 W 18TH ST, NEW YORK, NY, 10011",10011,NEW YORK
FOUNTAIN HOUSE INC MANHATTAN,Mental Health Services,212-582-3155,"425 W 47TH ST, NEW YORK, NY, 10036",10036,NEW YORK
ST. MARK'S PL INST FOR MNTAL HLTH,Mental Health Services,212-982-3470,"57 SAINT MARKS PL, NEW YORK, NY, 10003",10003,NEW YORK
ST LUKE'S-ROOSEVELT PSYCHIATRIC,Mental Health Services,212-523-6881,"1000 10TH AVE, NEW YORK, NY, 10019",10019,NEW YORK
KAREN HORNEY CLINIC,Mental Health Services,212-838-4333,"329 E 62ND ST, NEW YORK, NY, 10065",10065,NEW YORK
NYSARC INC NEW YORK CHAPTER,Mental Health Services,212-803-7335,"AHRC NEW YORK CITY 200 VARICK ST, NEW YORK, NY, 10014",10014,NEW YORK
HOUSING WORKS HEALTH SVCS INC,Mental Health Services,212-677-7999,"743 E 9TH ST # 749, NEW YORK, NY, 10009",10009,NEW YORK
JGB MENTAL HEALTH SVCS,Mental Health Services,212-769-6256,"250 W 64TH ST FL 4, NEW YORK, NY, 10023",10023,NEW YORK
THE BRIDGE INC,Mental Health Services,212-979-5531,"323 E HOUSTON ST, NEW YORK, NY, 10002",10002,NEW YORK
UNIVERSITY SETTLEMENT SOCIETY OF NY,Mental Health Services,917-838-7327,"UNIV SETTLEMENT SOC OF NY 184 ELDRIDGE ST, NEW YORK, NY, 10002",10002,NEW YORK
CHARLES B WANG MENTAL HEALTH,Mental Health Services,212-379-6996,"CHARLES B WANG COMM H CTR 268 CANAL ST, NEW YORK, NY, 10013",10013,NEW YORK
REVCORE RECOVERY CTRMANHATTAN LLC,Mental Health Services,212-966-9537,"REVCORE RECOVERY CTR MANH 181 CANAL ST, NEW YORK, NY, 10013",10013,NEW YORK
CHARLES B.WANG COMM HEALTH CENTER,Mental Health Services,212-226-3888,"CHARLES B WANG COMM H CTR 125 WALKER ST FL 2, NEW YORK, NY, 10013",10013,NEW YORK
ALLIANCE FOR POSITI VE CHANGE-LESHR,Mental Health Services,212-645-0875,"LWR E SIDE HARM RDCTN CTR 25 ALLEN ST, NEW YORK, NY, 10002",10002,NEW YORK
SERVICE PROGRAM FOR OLDER PPL INC,Mental Health Services,212-787-7120,"1484 1ST AVE, NEW YORK, NY, 10075",10075,NEW YORK
COMMUNITY ASSISTANCERESOURCES CARES,Mental Health Services,212-420-1970,"CARES 465 GRAND ST, NEW YORK, NY, 10002",10002,NEW YORK
"THE FLOATING HOSPITAL , MD",Mental Health Services,718-784-2240,"THE FLOATING HOSPITAL 4140 27TH ST, LONG ISLAND CITY, NY, 11101",11101,LONG ISLAND CITY
LOWER EASTSIDE SVC CENTER INC,Mental Health Services,212-343-3520,"62 E BROADWAY, NEW YORK, NY, 10002",10002,NEW YORK
BETANCES HEALTH CNTRHENRY ST SETTLE,Mental Health Services,212-233-5033,"40 MONTGOMERY ST, NEW YORK, NY, 10002",10002,NEW YORK
HAMILTON MADISON HOUSE INC,Mental Health Services,212-720-4570,"253 SOUTH ST, NEW YORK, NY, 10002",10002,NEW YORK
FORTUNE SOCIETY INC,Mental Health Services,212-691-7554,"FORTUNE OASAS 003/004 2976 NORTHERN BLVD, LONG ISLAND CITY, NY, 11101",11101,LONG ISLAND CITY
THE FORTUNE SOCIETY,"Mental Health Services, Substance Abuse Outpatient",212-691-7554,"FORTUNE OASAS 003/004 2976 NORTHERN BLVD FL 2, LONG ISLAND CITY, NY, 11101",11101,LONG ISLAND CITY
METROPOLITAN CTR.FORMENTAL HEALTH,Mental Health Services,212-362-8755,"160 W 86TH ST, NEW YORK, NY, 10024",10024,NEW YORK
NEW YORK CITY CHILDRENS CTR,Mental Health Services,212-348-6140,"QUEE MID-CHILDHOOD CLINC 110 E 88TH ST, NEW YORK, NY, 10128",10128,NEW YORK
GODDARD RIVERSIDE COMMUNITY CTR,Mental Health Services,212-799-7171,"THE OTHER PLACE CLUBHOUSE 264 E 87TH ST, NEW YORK, NY, 10128",10128,NEW YORK
NEW YORK COUNSELING FOR CHANGE LLC,Mental Health Services,718-424-6191,"NY COUNSEL FOR CHNGE 30-46 NORTHERN BLVD, LONG ISLAND CITY, NY, 11101",11101,LONG ISLAND CITY
BRIDGING ACCESS TO CARE INC,Mental Health Services,347-505-5120,"260 BROADWAY FL 4, BROOKLYN, NY, 11211",11211,BROOKLYN
ADOLECENT HEALTH CTR,Mental Health Services,212-423-3000,"312 E 94TH ST, NEW YORK, NY, 10128",10128,NEW YORK
AMSTERDAM CENTER,Mental Health Services,212-865-4104,"690 AMSTERDAM AVE, NEW YORK, NY, 10025",10025,NEW YORK
SAMUEL FIELD YM&YWHA,Mental Health Services,718-224-0566,"SAMUEL FIELD YM&YWHA 43-31 39TH ST, SUNNYSIDE, NY, 11104",11104,SUNNYSIDE
CENTER FOR HEARING &COMMUNICATION,Mental Health Services,917-305-7702,"50 BROADWAY FL 6, NEW YORK, NY, 10004",10004,NEW YORK
MENTAL HLTH ASSOC OF NYC INC,Mental Health Services,212-786-6800,"50 BROADWAY FL 19, NEW YORK, NY, 10004",10004,NEW YORK
HAMASPIK OF KINGS COUNTY INC,Mental Health Services,718-387-8400,"HAMASPIK OF KINGS COUNTY 295 DIVISION AVE, BROOKLYN, NY, 11211",11211,BROOKLYN
MT SINAI ADULT PSYCHIATRY,Mental Health Services,212-241-7181,"1 GUSTAVE L LEVY PL, NEW YORK, NY, 10029",10029,NEW YORK
WESTERN QUEENS CONSULTATION CENTER,Mental Health Services,718-706-1663,"MENTAL HEALTH PROVIDERS W 4404 QUEENS BLVD, SUNNYSIDE, NY, 11104",11104,SUNNYSIDE
JASA GMHOS,Mental Health Services,718-922-5079,"BROOKLYN FRIENDSHIP HOUSE 202 GRAHAM AVE, BROOKLYN, NY, 11206",11206,BROOKLYN
HANAC INC,Mental Health Services,718-204-1200,"3114 30TH AVE, ASTORIA, NY, 11102",11102,ASTORIA
KINGSBORO PSYCHIATRIC CTR,Mental Health Services,718-388-3075,"WILLIAMSBURG CLINIC 10 MANHATTAN AVE, BROOKLYN, NY, 11206",11206,BROOKLYN
CABS HEALTH CENTER,Mental Health Services,718-778-0198,"94 MANHATTAN AVE # 98, BROOKLYN, NY, 11206",11206,BROOKLYN
TRI CENTER INC,Mental Health Services,212-268-8830,"175 REMSEN ST, BROOKLYN, NY, 11201",11201,BROOKLYN
BRIDGE BACK TO LIFE CENTER INC,Mental Health Services,718-852-5552,"175 REMSEN ST 10TH FL, BROOKLYN, NY, 11201",11201,BROOKLYN
LIVING POSITIVE INC BROOKLYN,Mental Health Services,929-312-6204,"147 PRINCE ST, BROOKLYN, NY, 11201",11201,BROOKLYN
LITTLE FLOWER CHLDRNAND FAMILY SVCS,Mental Health Services,781-260-8840,"44 COURT ST, BROOKLYN, NY, 11201",11201,BROOKLYN
CATHOLIC CHARITIES NBHD SRV INC,Mental Health Services,718-722-6000,"HEADQUARTERS 191 JORALEMON ST, BROOKLYN, NY, 11201",11201,BROOKLYN
NORTHSIDE CTR FOR CHILD DEVELOPMT,Mental Health Services,212-426-3400,"35 EAST 110TH ST, NEW YORK, NY, 10029",10029,NEW YORK
THE BRIDGE INC.,Mental Health Services,212-663-3000,"248 W 108TH ST, NEW YORK, NY, 10025",10025,NEW YORK
NORTHSIDE CENTER FORCHILD DEVELOPMT,Mental Health Services,212-426-3404,"1301 5TH AVE, NEW YORK, NY, 10029",10029,NEW YORK
HOUSING WORKS INC,Mental Health Services,347-473-7400,"57 WILLOUGHBY ST FL 2, BROOKLYN, NY, 11201",11201,BROOKLYN
WEST VILLAGE HEALTH CENTER,Mental Health Services,718-907-6230,"57 WILLOUGHBY ST, BROOKLYN, NY, 11201",11201,BROOKLYN
HOUSING WORKS HEALTHSERVICES 11,Mental Health Services,347-473-7400,"57 WILLOUGHBY ST BSMT, BROOKLYN, NY, 11201",11201,BROOKLYN
SAFE HORIZON INC,Mental Health Services,347-328-8110,"SAFE HORIZON COUNSELING 50 COURT ST STE 901, BROOKLYN, NY, 11201",11201,BROOKLYN
UPPER MANHATTAN MNTLHLTH CTR,Mental Health Services,212-348-4660,"2009 3RD AVE, NEW YORK, NY, 10029",10029,NEW YORK
CREATE INC,Mental Health Services,212-663-1596,"121 W 111TH ST # 123, NEW YORK, NY, 10026",10026,NEW YORK
CTR FOR ALT SENTENCING,Mental Health Services,212-553-6300,"CASES 151 LAWRENCE ST FL 3, BROOKLYN, NY, 11201",11201,BROOKLYN
PUERTO RICAN FAMILY INSTITUTE INC,Mental Health Services,718-963-4430,"BROOKLYN MHC 28 DEBEVOISE ST FL 5, BROOKLYN, NY, 11206",11206,BROOKLYN
ST VINCENTS SVCS,Mental Health Services,718-522-6011,"66 BOERUM PL, BROOKLYN, NY, 11201",11201,BROOKLYN
ST VINCENTS SERVICES,Mental Health Services,718-522-6011,"ST VINCENTS SVCS 66 BOERUM PL, BROOKLYN, NY, 11201",11201,BROOKLYN
COMM COUNSELING AND MEDIATION INC,Mental Health Services,718-802-0666,"YOUTH AND FAMILY CON CTR 25 ELM PL FL 2, BROOKLYN, NY, 11201",11201,BROOKLYN
JAMES WELDON JOHNSONCOUNSEL CTR,Mental Health Services,212-828-6144,"2089 3RD AVE, NEW YORK, NY, 10029",10029,NEW YORK
HTS HILL MENT HLTH SERV COMM ADV BD,Mental Health Services,718-852-5217,"RAINBOW HEIGHTS CLUB 25 ELM PLACE 6TH FL, BROOKLYN, NY, 11201",11201,BROOKLYN
GOODWILL INDUST OF GREATER NY & NJ,Mental Health Services,718-371-7280,"25 ELM PLACE 3RD FL, BROOKLYN, NY, 11201",11201,BROOKLYN
ASSOCIATION TO BENEFIT CHLDRN,Mental Health Services,212-845-3863,"158 E 115TH ST FL 1, NEW YORK, NY, 10029",10029,NEW YORK
INTERBOROUGH DEVE. & CONSULT CTR,Mental Health Services,718-388-5176,"790 BROADWAY, BROOKLYN, NY, 11206",11206,BROOKLYN
ST LUKES-ROOSEVELT PSYCHIATRIC ASSO,Mental Health Services,212-523-5643,"1090 AMSTERDAM AVE, NEW YORK, NY, 10025",10025,NEW YORK
CARE COUNSELING CENTER LLC,"Mental Health Services, Substance Abuse Outpatient",212-602-1400,"214 W 116TH ST, NEW YORK, NY, 10026",10026,NEW YORK
SOUTH BEACH PSYCHIATRIC CENTER,Mental Health Services,718-875-1420,"HEIGHTS HILL CLINIC 25 FLATBUSH AVE FL 3, BROOKLYN, NY, 11217",11217,BROOKLYN
INSTITUTE FOR COMMUNITY LIVING INC,Mental Health Services,888-425-0501,"50 NEVINS ST, BROOKLYN, NY, 11217",11217,BROOKLYN
SAMARITAN DAYTOP VILLAGE INC,Mental Health Services,718-206-2000,"988 MYRTLE AVE, BROOKLYN, NY, 11206",11206,BROOKLYN
BROOKLYN PLAZA,Mental Health Services,718-596-9800,"650 FULTON ST, BROOKLYN, NY, 11217",11217,BROOKLYN
SPANISH SPEAKING ELDERLY COUNCIL,Mental Health Services,718-222-1518,"460 ATLANTIC AVE FL 1, BROOKLYN, NY, 11217",11217,BROOKLYN
AIDS CTR OF QUEENS COUNTY INC,Mental Health Services,718-896-2500,"6207 WOODSIDE AVE, WOODSIDE, NY, 11377",11377,WOODSIDE
WESTERN QUEENS CONSULT CTR,Mental Health Services,718-898-5085,"6207 WOODSIDE AVE STE 4, WOODSIDE, NY, 11377",11377,WOODSIDE
GRAHAM WINDHAM,Mental Health Services,212-529-6445,"540 ATLANTIC AVE, BROOKLYN, NY, 11217",11217,BROOKLYN
BAILEY HOUSE BEHAVIORAL CTR,Mental Health Services,212-289-6008,"1751 PARK AVE, NEW YORK, NY, 10035",10035,NEW YORK
HARLEM EAST LIFE PLAN,Mental Health Services,212-876-2300,"236769 SECOND AVENUE, NEW YORK, NY, 10035",10035,NEW YORK
SUS MENTAL HEALTH PROGRAMS INC,Mental Health Services,347-505-0160,"186 E 123RD ST, NEW YORK, NY, 10035",10035,NEW YORK
EAST HARLEM COUNCIL FOR HUMAN SRVS,Mental Health Services,212-289-6650,"2265 3RD AVE, NEW YORK, NY, 10035",10035,NEW YORK
START TRTMNT & RCVRYCTR TEEN START,Mental Health Services,212-222-2069,"119 W 124TH ST, NEW YORK, NY, 10027",10027,NEW YORK
HARLEM UNITED COMMUNAIDS CNTR INC,Mental Health Services,212-289-2378,"290 LENOX AVE BSMT, NEW YORK, NY, 10027",10027,NEW YORK
NY FOUNDLING MENTAL HEALTH CLINIC,Mental Health Services,917-485-7280,"2090 ADM CLYTN PWLLJRBLVD, NEW YORK, NY, 10027",10027,NEW YORK
THE CHILD CENTER OF NY INC,"Mental Health Services, Alcohol Treatment Program",718-458-4243,"6714 41ST AVE, WOODSIDE, NY, 11377",11377,WOODSIDE
MANHATTAN PSYCHIATRIC CTR,Mental Health Services,212-961-8700,"MANH PC 125TH ST CLINIC 163 W 125TH ST, NEW YORK, NY, 10027",10027,NEW YORK
"FEDCAP REHAB SERVICES, INC",Mental Health Services,212-727-4360,"104 E 126TH ST STE 4C, NEW YORK, NY, 10035",10035,NEW YORK
NY HARM REDUCTION EDUCATORS INC,Mental Health Services,718-842-6050,"104-106 E 126TH ST STE 1A, NEW YORK, NY, 10035",10035,NEW YORK
CITICARE INC,Mental Health Services,718-589-2440,"154 W 127TH ST, NEW YORK, NY, 10027",10027,NEW YORK
QUEENS NEUROPSYCHIATRIC INSTITUTE,Mental Health Services,718-335-3434,"3764 72ND ST, JACKSON HEIGHTS, NY, 11372",11372,JACKSON HEIGHTS
LEXINGTON CTR FOR MENTAL HEALTH SER,Mental Health Services,718-350-3148,"2502 75TH ST, EAST ELMHURST, NY, 11370",11370,EAST ELMHURST
BRKLYN CENTER FOR PSYCOTHERAPY INC,Mental Health Services,718-622-2000,"300 FLATBUSH AVE, BROOKLYN, NY, 11217",11217,BROOKLYN
BKLYN CTR FOR PSYCHOTHERAPY,Mental Health Services,718-622-2000,"300 FLATBUSH AVE, BROOKLYN, NY, 11217",11217,BROOKLYN
CREEDMOOR PSYCHIATRIC CTR,Mental Health Services,718-726-5953,"STEINWAY COMMUNITY SVCS 3811 BROADWAY FL 3, ASTORIA, NY, 11103",11103,ASTORIA
AFTER HOURS PROJECT INC,Mental Health Services,718-249-0755,"1204 BROADWAY, BROOKLYN, NY, 11221",11221,BROOKLYN
UPPER ROOM AIDS MINISTRY INC,Mental Health Services,646-762-4950,"169 W 133RD ST, NEW YORK, NY, 10030",10030,NEW YORK
THE FAMILY CENTER INC,Mental Health Services,718-230-1379,"THE FAMILY CENTER INC 493 NOSTRAND AVE STE 3, BROOKLYN, NY, 11216",11216,BROOKLYN
REWARDING ENVIRON FOR ADLT LIVING,Mental Health Services,516-563-0449,"2417 3RD AVE RM 602, BRONX, NY, 10451",10451,BRONX
COALITION FOR HISP FAMILY SERVICES,Mental Health Services,718-497-6090,"315 WYCKOFF AVE, BROOKLYN, NY, 11237",11237,BROOKLYN
SCO FAMILY OF SERVICES,Mental Health Services,718-312-6829,"1360 FULTON ST, BROOKLYN, NY, 11216",11216,BROOKLYN
CHILDREN OF PROMISE NYC,Mental Health Services,718-483-9290,"54 MACDONOUGH ST, BROOKLYN, NY, 11216",11216,BROOKLYN
PROMESA INC,Mental Health Services,718-780-7421,"BROOKLYN CDOP & METHADONE 561 COURT ST 4TH FL, BROOKLYN, NY, 11231",11231,BROOKLYN
NY PSYCHOTHERAPY ANDCOUNSELING CTR,Mental Health Services,718-478-2900,"QUEE ADULT H CLINIC TREAT 80-20 45TH AVE, QUEEN, NY, 11373",11373,QUEEN
BETANCES HEALTH CNTR BUSHWICK,Mental Health Services,347-390-8701,"BHC- BUSHWICK 1427 BROADWAY, BROOKLYN, NY, 11221",11221,BROOKLYN
OUTREACH DEVELOPMENT CORPORATION,Mental Health Services,718-456-7820,"OUTREACH HOUSE 1 1614 WEIRFIELD ST, RIDGEWOOD, NY, 11385",11385,RIDGEWOOD
THE CHILD CENTER OF NY,Mental Health Services,718-899-9810,"ASIAN OUTREACH PROGRAM 8114 QUEENS BLVD, ELMHURST, NY, 11373",11373,ELMHURST
E&A MEDICAL SOLUTIONS LLC,Mental Health Services,646-979-9050,"253 E 142ND ST, BRONX, NY, 10451",10451,BRONX
BOOM!HEALTH,Mental Health Services,718-292-7718,"BOOM!HEATH CENTRAL OFFICE 226 E 144TH ST, BRONX, NY, 10451",10451,BRONX
NORTH CROWN HTS FAM OUTREACH CTR,Mental Health Services,718-230-8600,"763 NOSTRAND AVE # 1, BROOKLYN, NY, 11216",11216,BROOKLYN
FOUNTAIN HOUSE INC BRONX,Mental Health Services,212-528-9869,"564 WALTON AVE, BRONX, NY, 10451",10451,BRONX
SAMARITAN DAYTOP VIL LAGE INC,Mental Health Services,718-565-2456,"2780 3RD AVE, BRONX, NY, 10455",10455,BRONX
PARK SLOPE CTR FOR MENTAL HEALTH,Mental Health Services,718-788-2461,"348 13TH ST STE 203-204, BROOKLYN, NY, 11215",11215,BROOKLYN
CATHOLIC CHARITIES NBHD SVCS INC,Mental Health Services,718-779-1600,"CATHOLIC CHARITIES NBHD 9114 37TH AVE, JACKSON HEIGHTS, NY, 11372",11372,JACKSON HEIGHTS
FAMILIES ON THE MOVEOF NYC INC,Mental Health Services,347-682-4870,"595 GERARD AVE, BRONX, NY, 10451",10451,BRONX
CARDINAL MCCLOSKEY COMMUNITY SERVIC,Mental Health Services,718-993-7700,"CARDINAL MCCLOSKEY CM SVC 529 COURTLANDT AVE, BRONX, NY, 10451",10451,BRONX
LA CASA DE SALUD INC,Mental Health Services,718-665-4300,"324 E 149TH ST, BRONX, NY, 10451",10451,BRONX
ATHENAPSYCH LLC,Mental Health Services,718-520-8000,"2825 THIRD AVE STE 402, BRONX, NY, 10455",10455,BRONX
BENDEL YOUTH EMPOWERMENT PROG INC,Mental Health Services,914-434-2078,"BENDEL YOUTH EMPR PROGAN4 384 E 149TH ST STE 527, BRONX, NY, 10455",10455,BRONX
SOUTH BROOKLYN MED ADMIN SVCS INC,Mental Health Services,718-788-2594,"685 3RD AVE, BROOKLYN, NY, 11232",11232,BROOKLYN
METROPOLITAN FAMILY SVC INC,Mental Health Services,718-858-7234,"1958 FULTON ST, BROOKLYN, NY, 11233",11233,BROOKLYN
FAMILY SERVICES NETWORK OF NY,Mental Health Services,347-770-9911,"1420 BUSHWICK AVE FL 3, BROOKLYN, NY, 11207",11207,BROOKLYN
NY PSYCHOTHERAPY & COUNSELING CTR,Mental Health Services,718-602-1000,"BUSHWICK C&F MH CENTER 102 PILLING ST, BROOKLYN, NY, 11207",11207,BROOKLYN
VISITING NURSE SERVICE OF NEW YORK,Mental Health Services,718-742-7000,"FRIENDS CLINIC 489 E 153RD ST # 493, BRONX, NY, 10455",10455,BRONX
CATHOLIC CHARITIES NEIGHBORHOOD SER,Mental Health Services,718-456-7001,"CATHOLIC CHARITIES NEIGHB 6729 MYRTLE AVE, GLENDALE, NY, 11385",11385,GLENDALE
LONG ISLAND CONSULT CTR INC,Mental Health Services,718-896-3400,"9131 QUEENS BLVD STE 222, ELMHURST, NY, 11373",11373,ELMHURST
GOOD SHEPHERD SERVICES,Mental Health Services,212-243-7070,"269 PROSPECT PARK W, BROOKLYN, NY, 11215",11215,BROOKLYN
NEW HORIZON COUNSELING CENTER INC,Mental Health Services,718-898-6471,"10030 DITMARS BLVD, EAST ELMHURST, NY, 11369",11369,EAST ELMHURST
"CONCERN FOR INDEPENDENT LIVING, INC",Mental Health Services,347-381-4266,"CONCERN MACDOUGAL 330 MACDOUGAL ST, BROOKLYN, NY, 11233",11233,BROOKLYN
BEVERLEY MACK HARRY CONSULTING SVC,Mental Health Services,718-363-0100,"738 CROWN ST, BROOKLYN, NY, 11213",11213,BROOKLYN
EPRINE COMMUNITY SERVICES INC,Mental Health Services,607-323-0771,"EPRINE 1650 EASTERN PKWY STE 401, BROOKLYN, NY, 11233",11233,BROOKLYN
SUCCESS COUNSELING SERVICES INC,Mental Health Services,718-538-6112,"1015 OGDEN AVE, BRONX, NY, 10452",10452,BRONX
UNIVERSITY CONSULTATION CTR,Mental Health Services,718-293-8400,"1020 GRAND CONCOURSE, BRONX, NY, 10451",10451,BRONX
COMM ASSOC OF PROGR SSIVE DOMINICAN,Mental Health Services,212-781-5500,"3940 BROADWAY FL 2, NEW YORK, NY, 10032",10032,NEW YORK
NEW YORK PSYCHIATRIC INSTITUTE,Mental Health Services,212-928-8300,"NEW YORK PSYCHIATRIC INST 513 W 166TH ST FL 4, NEW YORK, NY, 10032",10032,NEW YORK
THE CHILDREN'S AID SOCIETY,Mental Health Services,212-923-1495,"MIRABAL SCHOOL BASED HC 21 JUMEL PL, NEW YORK, NY, 10032",10032,NEW YORK
BASICS INC,Mental Health Services,646-224-9300,"915 WESTCHESTER AVE, BRONX, NY, 10459",10459,BRONX
LA CASA DE SALUD IN,Mental Health Services,718-842-1412,"966 PROSPECT AVE, BRONX, NY, 10459",10459,BRONX
ASTOR SVCS FOR CHILDREN & FAMILIES,Mental Health Services,718-231-3400,"ASTOR AT 09X361 HG 200 W 167TH ST, BRONX, NY, 10452",10452,BRONX
BROOKLYN COMMUNITY SERVICES,Mental Health Services,718-235-5780,"2697 ATLANTIC AVE, BROOKLYN, NY, 11217",11217,BROOKLYN
JBFCS BROWNSVILLE CHLD DEVEL CTR,"Mental Health Services, Substance Abuse Outpatient",844-663-2255,"255 E 98TH ST, BROOKLYN, NY, 11212",11212,BROOKLYN
BROWNSVILLE MEDICAL CENTER,Mental Health Services,718-345-5000,"592 ROCKAWAY AVE, BROOKLYN, NY, 11212",11212,BROOKLYN
COMMUNITY HEALTHCARENETWORK,Mental Health Services,718-991-9250,"975 WESTCHESTER AVE, BRONX, NY, 10459",10459,BRONX
URBAN HORIZONS FAMILY HEALTH CENTER,Mental Health Services,718-293-3900,"50 E 168TH ST # 98, BRONX, NY, 10452",10452,BRONX
HAITIAN CENTERS COUNCIL INC,Mental Health Services,718-940-2200,"HAITIAN CTRS COUNCIL INC 3807 CHURCH AVE # 3809, BROOKLYN, NY, 11203",11203,BROOKLYN
METROPOLITAN COMMUNITY SERVICES,Mental Health Services,718-704-0200,"METROPOLITAN COMMUNITY SE 1049 38TH ST, BROOKLYN, NY, 11219",11219,BROOKLYN
HUMAN CARE SVCS FOR FAM&CHILDRENINC,Mental Health Services,718-854-2747,"HCS NYC 1042 38TH ST, BROOKLYN, NY, 11219",11219,BROOKLYN
ASTOR SERVICES FOR CHILD & FAM,Mental Health Services,845-452-6077,"ASTOR HIGHBRIDGE CLINIC 1419 SHAKESPEARE AVEOFC1, BRONX, NY, 10452",10452,BRONX
MERCYFIRST,Mental Health Services,718-469-0360,"MCAULEY MOTHER BABY CARE 4416 SNYDER AVE, BROOKLYN, NY, 11203",11203,BROOKLYN
BLEULER PSYCHOTHERAPY CENTER INC,Mental Health Services,718-275-6010,"10470 QUEENS BLVD STE 200, FOREST HILLS, NY, 11375",11375,FOREST HILLS
BLEULER PSYCHOTHERAPY CENTER,Mental Health Services,718-275-6010,"10470 QUEENS BLVD STE 200, FOREST HILLS, NY, 11375",11375,FOREST HILLS
EZRA MEDICAL CENTER,Mental Health Services,718-686-7600,"1312 38TH ST, BROOKLYN, NY, 11218",11218,BROOKLYN
INTEGRITY CARE SERVICES INC,Mental Health Services,718-854-1800,"1426 39TH ST, BROOKLYN, NY, 11218",11218,BROOKLYN
THE CHILD CENTER OF NEW YORK,Mental Health Services,718-651-7770,"6735 112TH ST, FOREST HILLS, NY, 11375",11375,FOREST HILLS
DR BETTY SHABAZZ HEALTH CENTER,Mental Health Services,718-277-8303,"999 BLAKE AVE, BROOKLYN, NY, 11208",11208,BROOKLYN
JEWISH ASSOC FOR SRVFOR THE AGED,Mental Health Services,718-365-4044,"1490 SOUTHERN BLVD, BRONX, NY, 10460",10460,BRONX
