row,name,meta,address,phone,zip
72,"SERVICE PROGRAM FOR OLDER PEOPLE, INC","Distance: 3.21 miles
302 West 91st Street New York 10024
(212)787-7120
Handicap Accessible",302 West 91st Street New York 10024,(212)787-7120,10024
73,SES OPERATING CORP DBA HARLEM EAST LIFE PLAN,"Distance: 4.83 miles
2367-69 2nd Avenue New York 10035
(212)876-2300
Handicap Accessible",2367-69 2nd Avenue New York 10035,(212)876-2300,10035
74,SOUTH BEACH PSYCHIATRIC CENTER (NYSOMH),"Distance: 4.3 miles
250 Baltic Street Brooklyn 11201
(718)453-3200
Handicap Accessible",250 Baltic Street Brooklyn 11201,(718)453-3200,11201
75,SOUTH BEACH PSYCHIATRIC CENTER (NYSOMH),"Distance: 11.87 miles
626 Sheepshead Bay Road, 3rd Fl Brooklyn 11224
(718)946-2600
Handicap Accessible","626 Sheepshead Bay Road, 3rd Fl Brooklyn 11224",(718)946-2600,11224
76,"START TREATMENT & RECOVERY CENTERS, INC","Distance: 7.65 miles
494 Dumont Ave Brooklyn 11206
(800)211-0996
Handicap Accessible",494 Dumont Ave Brooklyn 11206,(800)211-0996,11206
77,"THE HISPANIC COUNSELING CENTER, INC","Distance: 19.84 miles
344 Fulton Avenue Hempstead 11550
(516)358-2613
Handicap Accessible",344 Fulton Avenue Hempstead 11550,(516)358-2613,11550
78,"THE NEW HORIZON COUNSELING CENTER, INC.","Distance: 43.06 miles
11 Route 111 Smithtown 11787
(631)656-9550
Handicap Accessible",11 Route 111 Smithtown 11787,(631)656-9550,11787
79,"THE NEW HORIZON COUNSELING CENTER, INC.","Distance: 31.6 miles
445 Oak Street Copiague 11726
(631)257-5173
Handicap Accessible",445 Oak Street Copiague 11726,(631)257-5173,11726
80,THE NEW YORK FOUNDLING,"Distance: 4.46 miles
109 E 115th Street New York 10029
(718)772-0280
Handicap Accessible",109 E 115th Street New York 10029,(718)772-0280,10029
81,TRI CENTER INC,"Distance: 3.81 miles
175 Remsen Street, 6th Floor Brooklyn 11201
(718)858-4050
Handicap Accessible","175 Remsen Street, 6th Floor Brooklyn 11201",(718)858-4050,11201
82,TRI CENTER INC,"Distance: 9.43 miles
2488 Grand Concourse Bronx 10548
(212)268-8830
Handicap Accessible",2488 Grand Concourse Bronx 10548,(212)268-8830,10548
83,"UPPER MANHATTAN MENTAL HEALTH CENTER, INC.","Distance: 5.93 miles
1727 Amsterdam Avenue New York 10031
(212)694-9400
Handicap Accessible",1727 Amsterdam Avenue New York 10031,(212)694-9400,10031
84,VISITING NURSE SERVICE OF NEW YORK,"Distance: 0.46 miles
1250 Broadway New York 10001
(212)290-6565
Handicap Accessible",1250 Broadway New York 10001,(212)290-6565,10001
85,VISITING NURSE SERVICE OF NEW YORK HOME CARE,"Distance: 6.55 miles
489-493 East 153 Street Bronx 10455
(718)402-3900
Handicap Accessible",489-493 East 153 Street Bronx 10455,(718)402-3900,10455
86,VISITING NURSE SERVICE OF NEW YORK HOME CARE II,"Distance: 6.55 miles
489-493 E. 153rd Street Bronx 10455
(212)290-6565
Handicap Accessible",489-493 E. 153rd Street Bronx 10455,(212)290-6565,10455
87,"VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES, INC","Distance: 8.6 miles
716 Fairmount Place Bronx 10457
(718)542-8700
Handicap Accessible",716 Fairmount Place Bronx 10457,(718)542-8700,10457
88,"WELLLIFE NETWORK, INC.","Distance: 10.2 miles
2510 Westchester Avenue, Suite 102 Bronx 10461
(718)542-5805
Handicap Accessible","2510 Westchester Avenue, Suite 102 Bronx 10461",(718)542-5805,10461
89,"WELLLIFE NETWORK, INC.","Distance: 30.99 miles
55 Horizon Dr Huntington 11743
(631)920-8088
Handicap Accessible",55 Horizon Dr Huntington 11743,(631)920-8088,11743
90,WESTCHESTER JEWISH COMMUNITY SERVICES,"Distance: 12.71 miles
503 South Broadway, Suite 210 Yonkers 10705
(914)423-4433
Handicap Accessible","503 South Broadway, Suite 210 Yonkers 10705",(914)423-4433,10705
91,"ARGUS COMMUNITY, INC.","Distance: 6.91 miles
760 E. 160 Street Bronx 10456
(718)401-5700
Handicap Accessible",760 E. 160 Street Bronx 10456,(718)401-5700,10456
93,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 3.93 miles
345 East 102nd Street New York 10029
(646)459-6165
Handicap Accessible",345 East 102nd Street New York 10029,(646)459-6165,10029
94,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 8.53 miles
1930 Andrews Avenue, Room 216A Bronx 10453
(718)231-3400
Handicap Accessible","1930 Andrews Avenue, Room 216A Bronx 10453",(718)231-3400,10453
95,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 7.22 miles
270 East 167th Street, Room 115A and 316 Bronx 10456
(718)231-3400
Handicap Accessible","270 East 167th Street, Room 115A and 316 Bronx 10456",(718)231-3400,10456
96,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 8.79 miles
700 East 179th Street, Room 267 Bronx 10457
(718)231-3400
Handicap Accessible","700 East 179th Street, Room 267 Bronx 10457",(718)231-3400,10457
97,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 6.82 miles
778 Forrest Avenue, Room 122 Bronx 10456
(718)231-3400
Handicap Accessible","778 Forrest Avenue, Room 122 Bronx 10456",(718)231-3400,10456
98,BETH ISRAEL MEDICAL CENTER,"Distance: 4.89 miles
140 W 125th St New York 10027
(718)252-3000
Handicap Accessible",140 W 125th St New York 10027,(718)252-3000,10027
99,BETH ISRAEL MEDICAL CENTER,"Distance: 1.25 miles
1st Avenue at 16th Street New York 10003
(212)420-2000
Handicap Accessible",1st Avenue at 16th Street New York 10003,(212)420-2000,10003
100,"BROOKLYN CENTER FOR PSYCHOTHERAPY, INC.","Distance: 5.02 miles
300 Flatbush Avenue Brooklyn 11217
(718)398-0800
Handicap Accessible",300 Flatbush Avenue Brooklyn 11217,(718)398-0800,11217
101,"CARE FOR THE HOMELESS, INC.","Distance: 4.27 miles
111 Sunken Garden Loop New York 10035
(646)553-4475
Handicap Accessible",111 Sunken Garden Loop New York 10035,(646)553-4475,10035
102,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 10.87 miles
161-10 Jamaica Avenue Jamaica 11432
(718)722-6258
Handicap Accessible",161-10 Jamaica Avenue Jamaica 11432,(718)722-6258,11432
103,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 16.31 miles
1847 Mott Avenue - 1st Floor Far Rockaway 11691
(718)722-6001
Handicap Accessible",1847 Mott Avenue - 1st Floor Far Rockaway 11691,(718)722-6001,11691
104,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 9.17 miles
1900 B Ralph Avenue Brooklyn 11234
(718)722-6258
Handicap Accessible",1900 B Ralph Avenue Brooklyn 11234,(718)722-6258,11234
105,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 6.68 miles
67-29 Myrtle Avenue Glendale 11385
(718)722-6001
Handicap Accessible",67-29 Myrtle Avenue Glendale 11385,(718)722-6001,11385
106,"COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES, INC","Distance: 2.42 miles
465 Grand Street, Basement New York 10002
(212)420-1970
Handicap Accessible","465 Grand Street, Basement New York 10002",(212)420-1970,10002
107,COMMUNITY COUNSELING & MEDITATION,"Distance: 4.21 miles
285 Livingston Street Brooklyn 11217
(718)935-9201
Handicap Accessible",285 Livingston Street Brooklyn 11217,(718)935-9201,11217
108,COMMUNITY COUNSELING & MEDITATION,"Distance: 5.07 miles
535 Clinton Ave, 2nd Floor Brooklyn 11238
(718)704-1986
Handicap Accessible","535 Clinton Ave, 2nd Floor Brooklyn 11238",(718)704-1986,11238
109,COMMUNITY COUNSELING & MEDITATION,"Distance: 5.55 miles
810 Classon Avenue Brooklyn 11238
(718)230-5100
Handicap Accessible",810 Classon Avenue Brooklyn 11238,(718)230-5100,11238
110,"COUNSELING SERVICE OF NEW YORK, LLC","Distance: 6.72 miles
911 Walton Ave Bronx 10452
(718)590-1790
Handicap Accessible",911 Walton Ave Bronx 10452,(718)590-1790,10452
111,"FEDCAP REHABILITATION SERVICES, INC.","Distance: 7.06 miles
1011 Washington Avenue Bronx 10456
(646)483-4124
Handicap Accessible",1011 Washington Avenue Bronx 10456,(646)483-4124,10456
112,GAY MEN'S HEALTH CRISIS INC.,"Distance: 0.53 miles
307 West 38th Street, 8th Fl New York 10018
(212)367-1225
Handicap Accessible","307 West 38th Street, 8th Fl New York 10018",(212)367-1225,10018
113,GOODWILL INDUSTRIES NY/NJ,"Distance: 5.1 miles
4502 Ditmars Blvd, Suite 1032 Astoria 11103
(718)777-6311
Handicap Accessible","4502 Ditmars Blvd, Suite 1032 Astoria 11103",(718)777-6311,11103
114,"HAMILTON-MADISON HOUSE, INC.","Distance: 2.65 miles
253 South Street New York 10002
(646)284-1109
Handicap Accessible",253 South Street New York 10002,(646)284-1109,10002
115,HENRY STREET SETTLEMENT COMMUNITY CONSULTATION CENTER,"Distance: 2.46 miles
40 Montgomery Street New York 10002
(212)233-5032
Handicap Accessible",40 Montgomery Street New York 10002,(212)233-5032,10002
116,HUDSON GUILD,"Distance: 1.75 miles
121 East Third Street, Room 215 New York 10009
(212)760-9822
Handicap Accessible","121 East Third Street, Room 215 New York 10009",(212)760-9822,10009
117,INSTITUTE FOR COMMUNITY LIVING,"Distance: 13.52 miles
221-10 Jamaica Avenue Queens Village 11428
(888)425-0501
Handicap Accessible",221-10 Jamaica Avenue Queens Village 11428,(888)425-0501,11428
118,INSTITUTE FOR COMMUNITY LIVING,"Distance: 12.71 miles
4377 Bronx Boulevard Bronx 10466
(718)234-0073
Handicap Accessible",4377 Bronx Boulevard Bronx 10466,(718)234-0073,10466
119,"INTERFAITH MEDICAL CENTER, INC.","Distance: 4.99 miles
1038 Broadway Brooklyn 11221
(718)613-4000
Handicap Accessible",1038 Broadway Brooklyn 11221,(718)613-4000,11221
120,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 12.43 miles
1466 Manor Road, Room 129 Staten Island 10314
(718)761-9800
Handicap Accessible","1466 Manor Road, Room 129 Staten Island 10314",(718)761-9800,10314
121,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 10.22 miles
2925 Goulden Ave Rooms 122C and 130 Bronx 10468
(718)329-2144
Handicap Accessible",2925 Goulden Ave Rooms 122C and 130 Bronx 10468,(718)329-2144,10468
122,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 11.08 miles
50 Avenue X, Room 106 Brooklyn 11223
(718)373-6400
Handicap Accessible","50 Avenue X, Room 106 Brooklyn 11223",(718)373-6400,11223
123,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 6.05 miles
667 Eastern Parkway, Room 430 Brooklyn 11213
(718)676-4210
Handicap Accessible","667 Eastern Parkway, Room 430 Brooklyn 11213",(718)676-4210,11213
124,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 10.52 miles
75 West 205th Street, Room 034A & 035D2 Bronx 10468
(718)817-7759
Handicap Accessible","75 West 205th Street, Room 034A & 035D2 Bronx 10468",(718)817-7759,10468
125,"JULIA DYCKMAN ANDURS MEMORIAL, INC.","Distance: 30.02 miles
100 Van Coutland Avenue, Reflection RM Office Ossining 10562
(914)528-2021
Handicap Accessible","100 Van Coutland Avenue, Reflection RM Office Ossining 10562",(914)528-2021,10562
126,"JULIA DYCKMAN ANDURS MEMORIAL, INC.","Distance: 15.32 miles
53 Fairview Street, Office 7B6 Yonkers 10703
(914)528-2021
Handicap Accessible","53 Fairview Street, Office 7B6 Yonkers 10703",(914)528-2021,10703
127,"LONG ISLAND CONSULTATION CENTER, INC.","Distance: 6.75 miles
91-31 Queens Blvd, 2nd FL. Elmhurst 11373
(718)896-3400
Handicap Accessible","91-31 Queens Blvd, 2nd FL. Elmhurst 11373",(718)896-3400,11373
