program_region,program_county,sponsor_name,agency_name,site_name,main_site,site_address,site_city,site_state,site_zip_code,site_county,population_simple,type,full_address,lat,long,geometry
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at PS X61/IS 190,N,1550 Crotona Park East,Bronx,NY,10460,Bronx,Children & Adolescents,School,"1550 Crotona Park East, Bronx, NY 10460",40.8363733,-73.8927625,"[-73.8927625, 40.8363733]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at Peace and Diversity Academy,N,1180 Rev James A Polite Ave Room 230-231B,Bronx,NY,10459,Bronx,Adolescents,School,"1180 Rev James A Polite Ave Room 230-231B, Bronx, NY 10459",40.8275229,-73.89707829999999,"[-73.89707829999999, 40.8275229]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor@ x45 Thomas C. Giordano Middle School,N,2502 Lorillard Place Room 103-3,Bronx,NY,10458,Bronx,Children & Adolescents,School,"2502 Lorillard Place Room 103-3, Bronx, NY 10458",40.8583625,-73.8870429,"[-73.8870429, 40.8583625]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,East Bronx Academy for the Future,N,1716 Southern Blvd Room 307A,Bronx,NY,10460,Bronx,Children & Adolescents,School,"1716 Southern Blvd Room 307A, Bronx, NY 10460",40.8368071,-73.8877096,"[-73.8877096, 40.8368071]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Fanny Lou Hamer Middle School,N,1001 Jennings Street Room 400,Bronx,NY,10460,Bronx,Children & Adolescents,School,"1001 Jennings Street Room 400, Bronx, NY 10460",40.8312555,-73.8866072,"[-73.8866072, 40.8312555]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Hunts Point Middle School X424,N,730 Bryant Avenue,Bronx,NY,10474,Bronx,Children & Adolescents,School,"730 Bryant Avenue, Bronx, NY 10474",40.8155564,-73.8856083,"[-73.8856083, 40.8155564]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,IS 131 Albert Einstein School,N,885 Bolton Avenue Room 101A,Bronx,NY,10473,Bronx,Children & Adolescents,School,"885 Bolton Avenue Room 101A, Bronx, NY 10473",40.8232367,-73.85985509999999,"[-73.85985509999999, 40.8232367]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,J.H.S. 118,N,577 E 179th Street Rooms 122 and 201,Bronx,NY,10457,Bronx,Children & Adolescents,School,"577 E 179th Street Rooms 122 and 201, Bronx, NY 10457",40.8485715,-73.892395,"[-73.892395, 40.8485715]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Jill Chaifitz Transfer High School,N,778 Forest Avenue Room 122,Bronx,NY,10456,Bronx,Children & Adolescents,School,"778 Forest Avenue Room 122, Bronx, NY 10456",40.8186399,-73.9053941,"[-73.9053941, 40.8186399]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Kips Bay Palmero Clubhouse,N,1930 Randall Avenue,Bronx,NY,10473,Bronx,Children & Adolescents,Community,"1930 Randall Avenue, Bronx, NY 10473",40.8173824,-73.8567005,"[-73.8567005, 40.8173824]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,M.S. 390,N,1930 Andrews Avenue Room 216A,Bronx,NY,10453,Bronx,Children & Adolescents,School,"1930 Andrews Avenue Room 216A, Bronx, NY 10453",40.854392,-73.9129267,"[-73.9129267, 40.854392]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,M.S. 391,N,2225 Webster Avenue Room 309C,Bronx,NY,10457,Bronx,Children & Adolescents,School,"2225 Webster Avenue Room 309C, Bronx, NY 10457",40.8546548,-73.8970362,"[-73.8970362, 40.8546548]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Morris Academy for Collaborative St,N,1110 Boston Road Room 201,Bronx,NY,10456,Bronx,Children & Adolescents,School,"1110 Boston Road Room 201, Bronx, NY 10456",40.8273033,-73.9045097,"[-73.9045097, 40.8273033]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,P.S. 154 Jonathan D. Hyatt,N,333 E 135th Street Room 136A,Bronx,NY,10454,Bronx,Children,School,"333 E 135th Street Room 136A, Bronx, NY 10454",40.8082435,-73.92574069999999,"[-73.92574069999999, 40.8082435]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,P.S. 333/335,N,888 Rev James A Polite Ave Room 316,Bronx,NY,10459,Bronx,Children,School,"888 Rev James A Polite Ave Room 316, Bronx, NY 10459",40.82010229999999,-73.89809079999999,"[-73.89809079999999, 40.82010229999999]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,P.S. 42,N,"1537 Washington Avenue 1st Floor, Room 108",Bronx,NY,10457,Bronx,Children,School,"1537 Washington Avenue 1st Floor, Room 108, Bronx, NY 10457",40.8386133,-73.9030516,"[-73.9030516, 40.8386133]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,School Satellite Clinic MS 22 and MS 323,N,270 E 167th Street Rooms 115A and 316,Bronx,NY,10456,Bronx,Children & Adolescents,School,"270 E 167th Street Rooms 115A and 316, Bronx, NY 10456",40.8323844,-73.9142127,"[-73.9142127, 40.8323844]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Urban Campus,N,650 Hollywood Avenue Room 422,Bronx,NY,10465,Bronx,Adolescents,Community,"650 Hollywood Avenue Room 422, Bronx, NY 10465",40.8269794,-73.8182885,"[-73.8182885, 40.8269794]"
New York City,Bronx,"AthenaPsych, LLC","AthenaPsych, LLC",AthenaPsych Counseling Center,Y,2825 Third Avenue Suite 402,Bronx,NY,10455,Bronx,Children & Adolescents,Community,"2825 Third Avenue Suite 402, Bronx, NY 10455",40.81578510000001,-73.9187855,"[-73.9187855, 40.81578510000001]"
New York City,Bronx,BronxCare Health System,BronxCare Health System,BronxCare Child Study Center,Y,1276 Fulton Avenue,Bronx,NY,10456,Bronx,Children & Adolescents,Community,"1276 Fulton Avenue, Bronx, NY 10456",40.8315806,-73.9023625,"[-73.9023625, 40.8315806]"
New York City,Bronx,Cardinal McCloskey School & Home for Children dba Cardinal McCloskey Community Services,C McCloskey SHFC dba C McCloskey Comm Svcs,Hayden House,N,155 North Highland Avenue,Ossining,NY,10562,Westchester,Children & Adolescents,Community,"155 North Highland Avenue, Ossining, NY 10562",41.1686077,-73.8639135,"[-73.8639135, 41.1686077]"
New York City,Bronx,Cardinal McCloskey School & Home for Children dba Cardinal McCloskey Community Services,C McCloskey SHFC dba C McCloskey Comm Svcs,McCloskey Cares,Y,529 Cortlandt Avenue 5th Floor,Bronx,NY,10451,Bronx,Children & Adolescents,Community,"529 Cortlandt Avenue 5th Floor, Bronx, NY 10451",40.816126,-73.91999129999999,"[-73.91999129999999, 40.816126]"
New York City,Bronx,Catholic Guardian Services,Catholic Guardian Services,CGS Family Counseling and Wellness Center,Y,1990 Westchester Avenue,Bronx,NY,10462,Bronx,Children & Adolescents,Community,"1990 Westchester Avenue, Bronx, NY 10462",40.8332554,-73.8580329,"[-73.8580329, 40.8332554]"
New York City,Bronx,Gotham Health FQHC,NYC-HHC Morrisania Diagnostic & Treatment Ctr,Morrisania Diagnostic and Treatment Center,Y,1225 Gerard Avenue,Bronx,NY,10452,Bronx,Children & Adolescents,Community,"1225 Gerard Avenue, Bronx, NY 10452",40.8362867,-73.9202294,"[-73.9202294, 40.8362867]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Bronx Studio School for Writers and Artists,N,928 Simpson Street Room 226C,Bronx,NY,10459,Bronx,Children & Adolescents,School,"928 Simpson Street Room 226C, Bronx, NY 10459",40.8203827,-73.8930381,"[-73.8930381, 40.8203827]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Grand Concourse Counseling Center,Y,2488 Grand Concourse 2nd Floor,Bronx,NY,10458,Bronx,Children & Adolescents,Community,"2488 Grand Concourse 2nd Floor, Bronx, NY 10458",40.862105,-73.896787,"[-73.896787, 40.862105]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS Madeleine Borg Bronx Consultation Center,Y,750 Astor Avenue 2nd Floor,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"750 Astor Avenue 2nd Floor, Bronx, NY 10467",40.8592899,-73.86547209999999,"[-73.86547209999999, 40.8592899]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Lehman High School of American Studies Satellite,N,2925 Goulden Avenue Rooms 122C and 130,Bronx,NY,10468,Bronx,Adolescents,School,"2925 Goulden Avenue Rooms 122C and 130, Bronx, NY 10468",40.8746796,-73.8950763,"[-73.8950763, 40.8746796]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,The Bronx High School of Science Satellite,N,75 West 205th Street Room 034A,Bronx,NY,10468,Bronx,Adolescents,School,"75 West 205th Street Room 034A, Bronx, NY 10468",40.8785082,-73.8908792,"[-73.8908792, 40.8785082]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS Madeleine Borg JW Beatman Counseling Center,Y,521 West 239th Street,Bronx,NY,10463,Bronx,Children & Adolescents,Community,"521 West 239th Street, Bronx, NY 10463",40.8897108,-73.9092064,"[-73.9092064, 40.8897108]"
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,P.S. 7 Satellite,N,3201 Kingsbridge Avenue Room 297,Bronx,NY,10463,Bronx,Children,School,"3201 Kingsbridge Avenue Room 297, Bronx, NY 10463",40.8817779,-73.9059814,"[-73.9059814, 40.8817779]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Behavioral Health Center at Westchester Square,Y,2527 Glebe Avenue,Bronx,NY,10461,Bronx,Children & Adolescents,Community,"2527 Glebe Avenue, Bronx, NY 10461",40.8412276,-73.84645499999999,"[-73.84645499999999, 40.8412276]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Child Advocacy Center at Montefiore Children's Hospital,N,3314 Steuben Avenue,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"3314 Steuben Avenue, Bronx, NY 10467",40.8786269,-73.8810718,"[-73.8810718, 40.8786269]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Child/Adolescent Clinic,N,3340 Bainbridge Avenue,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"3340 Bainbridge Avenue, Bronx, NY 10467",40.8791505,-73.8788783,"[-73.8788783, 40.8791505]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Medical Center Child/Adult OPD,Y,111 E 210th Street,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"111 E 210th Street, Bronx, NY 10467",40.8814842,-73.88072729999999,"[-73.88072729999999, 40.8814842]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,PS 8 School Program,N,3010 Briggs Avenue,Bronx,NY,10467,Bronx,Children & Adolescents,School,"3010 Briggs Avenue, Bronx, NY 10467",40.8722182,-73.8834241,"[-73.8834241, 40.8722182]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,PS/MS 04,N,1701 Fulton Avenue Room 104A,Bronx,NY,10457,Bronx,Children & Adolescents,School,"1701 Fulton Avenue Room 104A, Bronx, NY 10457",40.8411563,-73.8983267,"[-73.8983267, 40.8411563]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,John P. Sousa I.S. 142 Satellite,N,3750 Baychester Avenue Suite 130,Bronx,NY,10466,Bronx,Adolescents,School,"3750 Baychester Avenue Suite 130, Bronx, NY 10466",40.8861491,-73.8404879,"[-73.8404879, 40.8861491]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Wakefield Child Psychiatry Clinic,Y,4401 Bronx Boulevard First Floor,Bronx,NY,10470,Bronx,Children & Adolescents,Community,"4401 Bronx Boulevard First Floor, Bronx, NY 10470",40.9002893,-73.8577572,"[-73.8577572, 40.9002893]"
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Wakefield Mental Health Clinic,Y,4401 Bronx Boulevard,Bronx,NY,10466,Bronx,Adolescents,Community,"4401 Bronx Boulevard, Bronx, NY 10466",40.9002893,-73.8577572,"[-73.8577572, 40.9002893]"
New York City,Bronx,"Morris Heights Health Center, Inc.","Morris Heights Health Center, Inc.",Harrison Counseling Center,Y,57 West Burnside Avenue,Bronx,NY,10453,Bronx,Children & Adolescents,Community,"57 West Burnside Avenue, Bronx, NY 10453",40.854387,-73.9095959,"[-73.9095959, 40.854387]"
New York City,Bronx,"Morris Heights Health Center, Inc.","Morris Heights Health Center, Inc.",Walton Counseling Center,N,25 East 183rd Street,Bronx,NY,10453,Bronx,Children & Adolescents,Community,"25 East 183rd Street, Bronx, NY 10453",40.8586459,-73.9028873,"[-73.9028873, 40.8586459]"
New York City,Bronx,New York City Health and Hospitals Corporation Lincoln Medical & Mental Health Center,NYC-HHC Lincoln Medical & Mental Health Cente,Lincoln Medical & Mental Health Center/Child Outpatient Svc,Y,234 East 149th Street,Bronx,NY,10451,Bronx,Children & Adolescents,Community,"234 East 149th Street, Bronx, NY 10451",40.8160855,-73.9247762,"[-73.9247762, 40.8160855]"
New York City,Bronx,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,Bronx Child & Family Mental Health Center,Y,579 Courtlandt Avenue,Bronx,NY,10451,Bronx,Children & Adolescents,Community,"579 Courtlandt Avenue, Bronx, NY 10451",40.8174309,-73.91932779999999,"[-73.91932779999999, 40.8174309]"
New York City,Bronx,"Postgraduate Center for Mental Health, Inc.","Postgraduate Center for Mental Health, Inc.",Postgraduate Child Adolescent & Family Clinic,Y,1775 Grand Concourse 8th Floor,Bronx,NY,10453,Bronx,Children & Adolescents,Community,"1775 Grand Concourse 8th Floor, Bronx, NY 10453",40.8464748,-73.91035459999999,"[-73.91035459999999, 40.8464748]"
New York City,Bronx,"Puerto Rican Family Institute, Inc.","Puerto Rican Family Institute, Inc.",Puerto Rican Family Institute Bronx Mental Health Clinic,Y,4123 Third Avenue,Bronx,NY,10457,Bronx,Children & Adolescents,Community,"4123 Third Avenue, Bronx, NY 10457",40.8448169,-73.8974954,"[-73.8974954, 40.8448169]"
New York City,Bronx,"Riverdale Mental Health Association, Inc. dba Mosaic Mental Health","RMHA, Inc. dba Mosaic Mental Health",In-Tech Academy (M.S./H.S. 368),N,2975 Tibbett Avenue Room 151,Bronx,NY,10463,Bronx,Children & Adolescents,School,"2975 Tibbett Avenue Room 151, Bronx, NY 10463",40.8790763,-73.91129529999999,"[-73.91129529999999, 40.8790763]"
New York City,Bronx,"Riverdale Mental Health Association, Inc. dba Mosaic Mental Health","RMHA, Inc. dba Mosaic Mental Health",Riverdale Mental Health Center,Y,5676 Riverdale Avenue,Bronx,NY,10471,Bronx,Children & Adolescents,Community,"5676 Riverdale Avenue, Bronx, NY 10471",40.9064273,-73.9039118,"[-73.9039118, 40.9064273]"
New York City,Bronx,"Riverdale Mental Health Association, Inc. dba Mosaic Mental Health","RMHA, Inc. dba Mosaic Mental Health",Riverdale Mental Health at Rosalyn Yalow Charter School,N,116 East 169th Street Room 301,Bronx,NY,10452,Bronx,Children,School,"116 East 169th Street Room 301, Bronx, NY 10452",40.83676639999999,-73.9174984,"[-73.9174984, 40.83676639999999]"
New York City,Bronx,"Samaritan Daytop Village, Inc.","Samaritan Daytop Village, Inc.",Samaritan Community Counseling Center,Y,362 Cortlandt Avenue,Bronx,NY,10455,Bronx,Children & Adolescents,Community,"362 Cortlandt Avenue, Bronx, NY 10455",40.8148498,-73.9201899,"[-73.9201899, 40.8148498]"
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,P.S. 205,N,2475 Southern Boulevard First Floor,Bronx,NY,10458,Bronx,Children & Adolescents,School,"2475 Southern Boulevard First Floor, Bronx, NY 10458",40.8557006,-73.8813704,"[-73.8813704, 40.8557006]"
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,P.S. 32,N,690 East 183rd Street First Floor,Bronx,NY,10458,Bronx,Children & Adolescents,School,"690 East 183rd Street First Floor, Bronx, NY 10458",40.8518895,-73.88596410000001,"[-73.88596410000001, 40.8518895]"
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,P.S. 85,N,2400 Marion Avenue Room 203,Bronx,NY,10458,Bronx,Children,School,"2400 Marion Avenue Room 203, Bronx, NY 10458",40.8587862,-73.8948755,"[-73.8948755, 40.8587862]"
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,"SBH Behavioral Health Child, Adolescent, and Family Services",Y,260 East 188th Street 2nd Floor,Bronx,NY,10458,Bronx,Children & Adolescents,Community,"260 East 188th Street 2nd Floor, Bronx, NY 10458",40.8606063,-73.8960238,"[-73.8960238, 40.8606063]"
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,SBH Pediatric Integrated Care,N,"4487 Third Avenue 2nd Floor, Rooms 231 and 232",Bronx,NY,10457,Bronx,Children & Adolescents,Community,"4487 Third Avenue 2nd Floor, Rooms 231 and 232, Bronx, NY 10457",40.8808938,-73.9048619,"[-73.9048619, 40.8808938]"
New York City,Bronx,"Sun River Health, Inc.","Sun River Health, Inc.",The Hub Health Center,Y,459 East 149th Street,Bronx,NY,10455,Bronx,Children & Adolescents,Community,"459 East 149th Street, Bronx, NY 10455",40.8154183,-73.9151832,"[-73.9151832, 40.8154183]"
New York City,Bronx,"Sun River Health, Inc.","Sun River Health, Inc.",Westchester Square Health Center,Y,2510 Westchester Avenue Suite 202,Bronx,NY,10461,Bronx,Children & Adolescents,Community,"2510 Westchester Avenue Suite 202, Bronx, NY 10461",40.839162,-73.8433307,"[-73.8433307, 40.839162]"
New York City,Bronx,The Children's Aid Society,The Children's Aid Society,Bronx Health Services Center,Y,910 E. 172nd Street 3rd Floor,Bronx,NY,10460,Bronx,Children & Adolescents,Community,"910 E. 172nd Street 3rd Floor, Bronx, NY 10460",40.83388009999999,-73.89014420000001,"[-73.89014420000001, 40.83388009999999]"
New York City,Bronx,The Children's Aid Society,The Children's Aid Society,Children's Aid Society at I.S. 219 New Venture School,N,3630 Third Avenue Room 184,Bronx,NY,10456,Bronx,Adolescents,School,"3630 Third Avenue Room 184, Bronx, NY 10456",40.8338446,-73.9039243,"[-73.9039243, 40.8338446]"
New York City,Bronx,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Stevenson,Y,731 White Plains Road,Bronx,NY,10473,Bronx,Children & Adolescents,Community,"731 White Plains Road, Bronx, NY 10473",40.8202298,-73.8582283,"[-73.8582283, 40.8202298]"
New York City,Bronx,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Walton Avenue,Y,1894 Walton Avenue,Bronx,NY,10453,Bronx,Children & Adolescents,Community,"1894 Walton Avenue, Bronx, NY 10453",40.8496978,-73.9090441,"[-73.9090441, 40.8496978]"
New York City,Bronx,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Westchester Square,Y,1420 Ferris Place Suite 1,Bronx,NY,10461,Bronx,Children & Adolescents,Community,"1420 Ferris Place Suite 1, Bronx, NY 10461",40.8394058,-73.8414215,"[-73.8414215, 40.8394058]"
New York City,Bronx,"Urban Health Plan, Inc.","Urban Health Plan, Inc.",VIDA Guidance Center,Y,4419 Third Avenue,Bronx,NY,10457,Bronx,Children & Adolescents,Community,"4419 Third Avenue, Bronx, NY 10457",40.8520793,-73.89322179999999,"[-73.89322179999999, 40.8520793]"
New York City,Bronx,Visiting Nurse Service of New York,Visiting Nurse Service of NY Home Care II,VNS FRIENDS Clinic Satellite at P.S. 369/179,N,468 East 140th Street Room 118A,Bronx,NY,10454,Bronx,Children,School,"468 East 140th Street Room 118A, Bronx, NY 10454",40.8091409,-73.92013759999999,"[-73.92013759999999, 40.8091409]"
New York City,Bronx,Visiting Nurse Service of New York,Visiting Nurse Service of NY Home Care II,VNSNY Mental Health Clinic at FRIENDS,Y,489-493 E. 153rd Street,Bronx,NY,10455,Bronx,Children & Adolescents,Community,"489-493 E. 153rd Street, Bronx, NY 10455",40.8183825,-73.9137999,"[-73.9137999, 40.8183825]"
New York City,Bronx,"Vocational Instruction Project Community Services, Inc.","Vocational Instruction Project Comm. Svcs, In",VIP Wellness Center,Y,770 East 176th Street 2nd Floor,Bronx,NY,10460,Bronx,Children & Adolescents,Community,"770 East 176th Street 2nd Floor, Bronx, NY 10460",40.8420202,-73.8903018,"[-73.8903018, 40.8420202]"
New York City,Kings,"Beverley Mack Harry Consulting Services, Inc.","Beverley Mack Harry Consulting Services, Inc.",Family Access to Counseling and Evaluation Services,Y,738 Crown Street Basement and 1st Floor,Brooklyn,NY,11213,Kings,Children & Adolescents,Community,"738 Crown Street Basement and 1st Floor, Brooklyn, NY 11213",40.6651052,-73.9331692,"[-73.9331692, 40.6651052]"
New York City,Kings,"Bridging Access to Care, Inc.","Bridging Access to Care, Inc.",Bridge to Recovery,Y,260 Broadway 4th Floor,Brooklyn,NY,11211,Kings,Children & Adolescents,Community,"260 Broadway 4th Floor, Brooklyn, NY 11211",40.708693,-73.95957,"[-73.95957, 40.708693]"
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",BCP at Frederick Douglass Academy IV/Brooklyn Academy of Glo,N,125 Stuyvesant Avenue Room 202,Brooklyn,NY,11221,Kings,Children & Adolescents,School,"125 Stuyvesant Avenue Room 202, Brooklyn, NY 11221",40.6916202,-73.9332768,"[-73.9332768, 40.6916202]"
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",Y,300 Flatbush Avenue,Brooklyn,NY,11217,Kings,Children & Adolescents,Community,"300 Flatbush Avenue, Brooklyn, NY 11217",40.6781818,-73.97340369999999,"[-73.97340369999999, 40.6781818]"
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",Brooklyn Ctr for Psychotherapy @ PS 067 Charles A. Dorsey,N,51 St. Edwards Street Room 232,Brooklyn,NY,11205,Kings,Children & Adolescents,School,"51 St. Edwards Street Room 232, Brooklyn, NY 11205",40.6951863,-73.97767689999999,"[-73.97767689999999, 40.6951863]"
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",M.S. 246 School Satellite,N,72 Veronica Place Room 132D,Brooklyn,NY,11226,Kings,Children & Adolescents,School,"72 Veronica Place Room 132D, Brooklyn, NY 11226",40.6481939,-73.9534785,"[-73.9534785, 40.6481939]"
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",P.S./I.S. 327 School Satellite,N,111 Bristol Street Rooms 300 and 302,Brooklyn,NY,11212,Kings,Children & Adolescents,School,"111 Bristol Street Rooms 300 and 302, Brooklyn, NY 11212",40.6682057,-73.9120378,"[-73.9120378, 40.6682057]"
New York City,Kings,"Brooklyn Center for Families in Crisis, Inc.","Brooklyn Center for Families in Crisis, Inc.",Brooklyn Center for Families In Crisis,Y,1309-1311 Foster Avenue,Brooklyn,NY,11230,Kings,Children & Adolescents,Community,"1309-1311 Foster Avenue, Brooklyn, NY 11230",40.6336115,-73.9645239,"[-73.9645239, 40.6336115]"
