program_region,program_county,sponsor_name,agency_name,site_name,main_site,site_address,site_city,site_state,site_zip_code,site_county,population_simple,type
New York City,Bronx,Cardinal McCloskey School & Home for Children dba Cardinal McCloskey Community Services,C McCloskey SHFC dba C McCloskey Comm Svcs,Hayden House,N,155 North Highland Avenue,Ossining,NY,10562.0,Westchester,Children & Adolescents,Community
New York City,Bronx,Cardinal McCloskey School & Home for Children dba Cardinal McCloskey Community Services,C McCloskey SHFC dba C McCloskey Comm Svcs,McCloskey Cares,Y,529 Cortlandt Avenue 5th Floor,Bronx,NY,10451.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Catholic Guardian Services,Catholic Guardian Services,CGS Family Counseling and Wellness Center,Y,1990 Westchester Avenue,Bronx,NY,10462.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Gotham Health FQHC,NYC-HHC Morrisania Diagnostic & Treatment Ctr,Morrisania Diagnostic and Treatment Center,Y,1225 Gerard Avenue,Bronx,NY,10452.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Bronx Studio School for Writers and Artists,N,928 Simpson Street Room 226C,Bronx,NY,10459.0,Bronx,Children & Adolescents,School
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Grand Concourse Counseling Center,Y,2488 Grand Concourse 2nd Floor,Bronx,NY,10458.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS Madeleine Borg Bronx Consultation Center,Y,750 Astor Avenue 2nd Floor,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Lehman High School of American Studies Satellite,N,2925 Goulden Avenue Rooms 122C and 130,Bronx,NY,10468.0,Bronx,Adolescents,School
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,The Bronx High School of Science Satellite,N,75 West 205th Street Room 034A,Bronx,NY,10468.0,Bronx,Adolescents,School
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS Madeleine Borg JW Beatman Counseling Center,Y,521 West 239th Street,Bronx,NY,10463.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,P.S. 7 Satellite,N,3201 Kingsbridge Avenue Room 297,Bronx,NY,10463.0,Bronx,Children,School
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Behavioral Health Center at Westchester Square,Y,2527 Glebe Avenue,Bronx,NY,10461.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Child Advocacy Center at Montefiore Children's Hospital,N,3314 Steuben Avenue,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Child/Adolescent Clinic,N,3340 Bainbridge Avenue,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Medical Center Child/Adult OPD,Y,111 E 210th Street,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,PS 8 School Program,N,3010 Briggs Avenue,Bronx,NY,10467.0,Bronx,Children & Adolescents,School
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,PS/MS 04,N,1701 Fulton Avenue Room 104A,Bronx,NY,10457.0,Bronx,Children & Adolescents,School
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,John P. Sousa I.S. 142 Satellite,N,3750 Baychester Avenue Suite 130,Bronx,NY,10466.0,Bronx,Adolescents,School
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Wakefield Child Psychiatry Clinic,Y,4401 Bronx Boulevard First Floor,Bronx,NY,10470.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Montefiore Medical Center,Montefiore Medical Center,Montefiore Wakefield Mental Health Clinic,Y,4401 Bronx Boulevard,Bronx,NY,10466.0,Bronx,Adolescents,Community
New York City,Bronx,"Morris Heights Health Center, Inc.","Morris Heights Health Center, Inc.",Harrison Counseling Center,Y,57 West Burnside Avenue,Bronx,NY,10453.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Morris Heights Health Center, Inc.","Morris Heights Health Center, Inc.",Walton Counseling Center,N,25 East 183rd Street,Bronx,NY,10453.0,Bronx,Children & Adolescents,Community
New York City,Bronx,New York City Health and Hospitals Corporation Lincoln Medical & Mental Health Center,NYC-HHC Lincoln Medical & Mental Health Cente,Lincoln Medical & Mental Health Center/Child Outpatient Svc,Y,234 East 149th Street,Bronx,NY,10451.0,Bronx,Children & Adolescents,Community
New York City,Bronx,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,Bronx Child & Family Mental Health Center,Y,579 Courtlandt Avenue,Bronx,NY,10451.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Postgraduate Center for Mental Health, Inc.","Postgraduate Center for Mental Health, Inc.",Postgraduate Child Adolescent & Family Clinic,Y,1775 Grand Concourse 8th Floor,Bronx,NY,10453.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Puerto Rican Family Institute, Inc.","Puerto Rican Family Institute, Inc.",Puerto Rican Family Institute Bronx Mental Health Clinic,Y,4123 Third Avenue,Bronx,NY,10457.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Riverdale Mental Health Association, Inc. dba Mosaic Mental Health","RMHA, Inc. dba Mosaic Mental Health",In-Tech Academy (M.S./H.S. 368),N,2975 Tibbett Avenue Room 151,Bronx,NY,10463.0,Bronx,Children & Adolescents,School
New York City,Bronx,"Riverdale Mental Health Association, Inc. dba Mosaic Mental Health","RMHA, Inc. dba Mosaic Mental Health",Riverdale Mental Health Center,Y,5676 Riverdale Avenue,Bronx,NY,10471.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Riverdale Mental Health Association, Inc. dba Mosaic Mental Health","RMHA, Inc. dba Mosaic Mental Health",Riverdale Mental Health at Rosalyn Yalow Charter School,N,116 East 169th Street Room 301,Bronx,NY,10452.0,Bronx,Children,School
New York City,Bronx,"Samaritan Daytop Village, Inc.","Samaritan Daytop Village, Inc.",Samaritan Community Counseling Center,Y,362 Cortlandt Avenue,Bronx,NY,10455.0,Bronx,Children & Adolescents,Community
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,P.S. 205,N,2475 Southern Boulevard First Floor,Bronx,NY,10458.0,Bronx,Children & Adolescents,School
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,P.S. 32,N,690 East 183rd Street First Floor,Bronx,NY,10458.0,Bronx,Children & Adolescents,School
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,P.S. 85,N,2400 Marion Avenue Room 203,Bronx,NY,10458.0,Bronx,Children,School
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,"SBH Behavioral Health Child, Adolescent, and Family Services",Y,260 East 188th Street 2nd Floor,Bronx,NY,10458.0,Bronx,Children & Adolescents,Community
New York City,Bronx,St. Barnabas Hospital,St. Barnabas Hospital,SBH Pediatric Integrated Care,N,"4487 Third Avenue 2nd Floor, Rooms 231 and 232",Bronx,NY,10457.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Sun River Health, Inc.","Sun River Health, Inc.",The Hub Health Center,Y,459 East 149th Street,Bronx,NY,10455.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Sun River Health, Inc.","Sun River Health, Inc.",Westchester Square Health Center,Y,2510 Westchester Avenue Suite 202,Bronx,NY,10461.0,Bronx,Children & Adolescents,Community
New York City,Bronx,The Children's Aid Society,The Children's Aid Society,Bronx Health Services Center,Y,910 E. 172nd Street 3rd Floor,Bronx,NY,10460.0,Bronx,Children & Adolescents,Community
New York City,Bronx,The Children's Aid Society,The Children's Aid Society,Children's Aid Society at I.S. 219 New Venture School,N,3630 Third Avenue Room 184,Bronx,NY,10456.0,Bronx,Adolescents,School
New York City,Bronx,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Stevenson,Y,731 White Plains Road,Bronx,NY,10473.0,Bronx,Children & Adolescents,Community
New York City,Bronx,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Walton Avenue,Y,1894 Walton Avenue,Bronx,NY,10453.0,Bronx,Children & Adolescents,Community
New York City,Bronx,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Westchester Square,Y,1420 Ferris Place Suite 1,Bronx,NY,10461.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Urban Health Plan, Inc.","Urban Health Plan, Inc.",VIDA Guidance Center,Y,4419 Third Avenue,Bronx,NY,10457.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Visiting Nurse Service of New York,Visiting Nurse Service of NY Home Care II,VNS FRIENDS Clinic Satellite at P.S. 369/179,N,468 East 140th Street Room 118A,Bronx,NY,10454.0,Bronx,Children,School
New York City,Bronx,Visiting Nurse Service of New York,Visiting Nurse Service of NY Home Care II,VNSNY Mental Health Clinic at FRIENDS,Y,489-493 E. 153rd Street,Bronx,NY,10455.0,Bronx,Children & Adolescents,Community
New York City,Bronx,"Vocational Instruction Project Community Services, Inc.","Vocational Instruction Project Comm. Svcs, In",VIP Wellness Center,Y,770 East 176th Street 2nd Floor,Bronx,NY,10460.0,Bronx,Children & Adolescents,Community
New York City,Kings,"Beverley Mack Harry Consulting Services, Inc.","Beverley Mack Harry Consulting Services, Inc.",Family Access to Counseling and Evaluation Services,Y,738 Crown Street Basement and 1st Floor,Brooklyn,NY,11213.0,Kings,Children & Adolescents,Community
New York City,Kings,"Bridging Access to Care, Inc.","Bridging Access to Care, Inc.",Bridge to Recovery,Y,260 Broadway 4th Floor,Brooklyn,NY,11211.0,Kings,Children & Adolescents,Community
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",BCP at Frederick Douglass Academy IV/Brooklyn Academy of Glo,N,125 Stuyvesant Avenue Room 202,Brooklyn,NY,11221.0,Kings,Children & Adolescents,School
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",Y,300 Flatbush Avenue,Brooklyn,NY,11217.0,Kings,Children & Adolescents,Community
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",Brooklyn Ctr for Psychotherapy @ PS 067 Charles A. Dorsey,N,51 St. Edwards Street Room 232,Brooklyn,NY,11205.0,Kings,Children & Adolescents,School
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",M.S. 246 School Satellite,N,72 Veronica Place Room 132D,Brooklyn,NY,11226.0,Kings,Children & Adolescents,School
New York City,Kings,"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",P.S./I.S. 327 School Satellite,N,111 Bristol Street Rooms 300 and 302,Brooklyn,NY,11212.0,Kings,Children & Adolescents,School
New York City,Kings,"Brooklyn Center for Families in Crisis, Inc.","Brooklyn Center for Families in Crisis, Inc.",Brooklyn Center for Families In Crisis,Y,1309-1311 Foster Avenue,Brooklyn,NY,11230.0,Kings,Children & Adolescents,Community
New York City,Kings,"Brooklyn Center for Families in Crisis, Inc.","Brooklyn Center for Families in Crisis, Inc.",P.S. 139 BCFC Satellite Mental Heal,N,330 Rugby Road Room B-9,Brooklyn,NY,11226.0,Kings,Children,School
New York City,Kings,C.C.M.S.,C.C.M.S.,CCM Livingston Street Clinic Satellite,N,25 Chapel Street Suite 903,Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,Kings,C.C.M.S.,C.C.M.S.,CCM/School Based Mental Health @ P.S. 316/M.S. 353,N,750 Classon Avenue Room 107A,Brooklyn,NY,11238.0,Kings,Children & Adolescents,School
New York City,Kings,C.C.M.S.,C.C.M.S.,Clinton Site,N,535 Clinton Avenue 2nd Floor,Brooklyn,NY,11238.0,Kings,Children & Adolescents,Community
New York City,Kings,C.C.M.S.,C.C.M.S.,Crown Heights Mental Health Clinic,N,810 Classon Avenue,Brooklyn,NY,11238.0,Kings,Children & Adolescents,Community
New York City,Kings,C.C.M.S.,C.C.M.S.,Youth and Family Consultation Center,Y,25 Elm Place 2nd Floor,Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,Kings,"Catholic Charities Neighborhood Services, Inc.","Catholic Charities Neighborhood Services, Inc",Flatbush Behavioral Health Clinic,Y,1623 Flatbush Avenue,Brooklyn,NY,11210.0,Kings,Children & Adolescents,Community
New York City,Kings,"Children of Promise, NYC","Children of Promise, NYC",CPNYC Mental Health Clinic,Y,54 Macdonough Street,Brooklyn,NY,11216.0,Kings,Children & Adolescents,Community
New York City,Kings,"Children of Promise, NYC","Children of Promise, NYC","Children of Promise, NYC Wellness C",N,1842 Webster Avenue,Bronx,NY,10457.0,Bronx,Children & Adolescents,Community
New York City,Kings,Coalition for Hispanic Family Services,Coalition for Hispanic Family Services,Bonding Links-Enlazos Familiares Mental Health Clinic,Y,315 Wyckoff Avenue 6th Floor,Brooklyn,NY,11237.0,Kings,Children & Adolescents,Community
New York City,Kings,Gotham Health FQHC,NYC-HHC East New York D&T Center,East New York Diagnostic & Tx Center Depart of Behav Health,Y,2094 Pitkin Avenue,Brooklyn,NY,11207.0,Kings,Children & Adolescents,Community
New York City,Kings,"Hamaspik of Kings County, Inc.","Hamaspik of Kings County, Inc.",Sipuk,Y,4102 13th Avenue,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"HeartShare Human Services of New York, Roman Catholic Diocese of Brooklyn","St. Vincent's Services, Inc. dba HeartShare S",St. Vincent's Mental Health Services,Y,66 Boerum Place 1st and 2nd Floors,Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,Kings,"Institute for Community Living, Inc.","Institute for Community Living, Inc.",Highland Park Center - PS 13,N,557 Pennsylvania Avenue,Brooklyn,NY,11207.0,Kings,Children & Adolescents,School
New York City,Kings,"Institute for Community Living, Inc.","Institute for Community Living, Inc.",ICL - Highland Park Center,Y,2581 Atlantic Avenue,Brooklyn,NY,11207.0,Kings,Children & Adolescents,Community
New York City,Kings,"Institute for Community Living, Inc.","Institute for Community Living, Inc.",Rockaway Parkway Center,Y,1310 Rockaway Parkway,Brooklyn,NY,11236.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Canarsie Counseling Center,Y,94-13 Flatlands Avenue,Brooklyn,NY,11236.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough Wellness Center @ Young Writers/Spring Creek Ca,N,1065 Elton Street Rooms 109E and 328B,Brooklyn,NY,11208.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",The Curtis Estabrook School PS 272,N,101-24 Seaview Avenue Room 211,Brooklyn,NY,11236.0,Kings,Children,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Coney Island Clinic,Y,2846 Stillwell Avenue,Brooklyn,NY,11224.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Canarsie High School Satellite,N,1600 Rockaway Parkway Rooms 151 and 341,Brooklyn,NY,11236.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Ebbets Field Middle School,N,46 McKeever Place Room #324A,Brooklyn,NY,11225.0,Kings,Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Franklin Delano Roosevelt High Scho,N,5800 20th Avenue Rooms 118 and 201,Brooklyn,NY,11204.0,Kings,Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",IS 285 Satellite,N,5909 Beverly Road Room 106,Brooklyn,NY,11203.0,Kings,Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough @ PS 158 Warwick,N,400 Ashford Street Room B10,Brooklyn,NY,11207.0,Kings,Children,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough Develop & Consultation Ctr Crown Heights Clinic,Y,921 East New York Avenue,Brooklyn,NY,11203.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",KIPP AMP Charter School,N,1224 Park Place Room 254,Brooklyn,NY,11213.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",La Cima Charter School,N,"800 Gates Avenue 3rd Floor, Room C2",Brooklyn,NY,11221.0,Kings,Children,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",PS 12-MS 484,N,430 Howard Avenue Room 215B,Brooklyn,NY,11233.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",PS 214 Michael Friedsam School,N,2944 Pitkin Avenue Room 561,Brooklyn,NY,11208.0,Kings,Children,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",The Urban Assembly Institute of Music and Art,N,"49 Flatbush Avenue Extension Rooms 508B, 608A, and 708A",Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Tilden High School Satellite,N,"5800 Tilden Avenue Rooms 102A, 145A, 229B, 338C",Brooklyn,NY,11203.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",UAAAL / PS20 Clinton Hill School Satellite,N,225 Adelphi Street Room 2101D,Brooklyn,NY,11205.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Urban Assembly Inst of Math & Science for Young Women &,N,330 Jay Street Room 151B,Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Winthrop IS 232 Satellite,N,905 Winthrop Street Room 123A,Brooklyn,NY,11203.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough Developmental & Consultation Center,Y,1623 Kings Highway,Brooklyn,NY,11229.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Academy of Urban Planning,N,400 Irving Avenue Rooms 112 and 116,Brooklyn,NY,11237.0,Kings,Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.","I.S. 349, The School of Math, Science and Technology",N,35 Starr Street Room 201A,Brooklyn,NY,11221.0,Kings,Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough @ IS 318 - Eugenio Mar,N,101 Walton Street Room 130-B,Brooklyn,NY,11206.0,Kings,Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Roland Hayes School,N,231 Palmetto Street Room 248B,Brooklyn,NY,11221.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",WIN I.S. 49,N,223 Graham Avenue Room 378,Brooklyn,NY,11206.0,Kings,Children,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Williamsburg Clinic,Y,790 Broadway,Brooklyn,NY,11206.0,Kings,Children & Adolescents,Community
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Young Women's Leadership School,N,325 Bushwick Avenue Room 406,Brooklyn,NY,11206.0,Kings,Children & Adolescents,School
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",lnterborough @ Grover Cleveland High School,N,2127 Himrod Street Suite 125B,Ridgewood,NY,11385.0,Queens,Adolescents,School
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Brownsville Child Development Center,Y,255 East 98th Street,Brooklyn,NY,11212.0,Kings,Children,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS - Bay Ridge Counseling Center,Y,9201 4th Avenue 2nd Floor,Brooklyn,NY,11209.0,Kings,Children & Adolescents,Community
