agency_name,site_name,specialty,specialty_desc,nokids_notherapy,nokids_notherapy_desc,not_applicable,not_applicable_desc,site_city,site_zip_code,site_county,population_simple,type,address,phone,date_called,reached,new_patients,wait_time,weeks_low,weeks_high,weeks_mean,months_low,months_high,lat,long,geometry
"Pesach Tikvah-Hope Development, Inc.",Borough Park Satellite,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,Community,4111 18th ave,,6/29/22,yes,yes,2-3 weeks,2.0,3.0,2.5,0.5,0.75,40.631658,-73.974508,"[-73.974508, 40.631658]"
"Sun River Health, Inc.",Church Avenue Health Center,,,,,,,Brooklyn,11226.0,Kings,Children & Adolescents,Community,1669 BEDFORD AVE,855-681-8700,6/30/22,yes,no,no list,,,,,,40.6504294,-73.95538669999999,"[-73.95538669999999, 40.6504294]"
"Sun River Health, Inc.",Bedford Avenue Health Center,,,,,,,Brooklyn,11225.0,Kings,Children & Adolescents,Community,2412 CHURCH AVE,855-681-8700,6/30/22,yes,no,no list,,,,,,40.6658635,-73.9564857,"[-73.9564857, 40.6658635]"
"The Child Center of NY, Inc.",Beach 41st Center,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,School,426 BEACH 40TH ST,347-246-9759,6/30/22,,,,,,,,,40.5965565,-73.7716332,"[-73.7716332, 40.5965565]"
The Institute for Family Health,Institute Center for Counseling at Stevenson,,,,,,,Bronx,10473.0,Bronx,Children & Adolescents,Community,731 White Plains Road,(718) 822-9140,7/6/22,yes,yes,late July or Early August,3.0,5.0,4.0,0.75,1.25,40.8202298,-73.8582283,"[-73.8582283, 40.8202298]"
The Children's Aid Society,Dunlevy Milbank Family Services,,,,,,,New York,10026.0,New York,Children & Adolescents,Community,14 W 118TH ST,212-996-1716,6/30/22,yes,no,no list,,,,,,40.8023591,-73.9468308,"[-73.9468308, 40.8023591]"
"The Fifth Avenue Counseling Center, Inc.","The Fifth Avenue Counseling Center, Inc.",,,,,,,New York,10003.0,New York,Children & Adolescents,Community,5 E 17TH ST,212-989-2990,6/30/22,yes,no,"wait list, open after labor day, 4-8 weeks after that for intake",,,,,0.0,40.7379457,-73.9914342,"[-73.9914342, 40.7379457]"
"The Floating Hospital, Inc.",Floating Hospital Clinic,,,,,,,Long Island City,11101.0,Queens,Children & Adolescents,Community,21-01 41st Avenue,718-784-2240,6/30/22,yes,yes,"2-4 weeks call back, second wait list 2-3 months",10.69,17.04,13.86,2.67,4.26,40.7540855,-73.9419645,"[-73.9419645, 40.7540855]"
The Institute for Family Health,Institute Center for Counseling at Westchester Square,,,,,,,Bronx,10461.0,Bronx,Children & Adolescents,Community,1420 Ferris Place,(718) 239-1610,7/6/22,yes,yes,late July or Early August,3.0,5.0,4.0,0.75,1.25,40.8394058,-73.8414215,"[-73.8414215, 40.8394058]"
The Institute for Family Health,The Institute Center for Counseling at 17th Street,,,,,,,New York,10011.0,New York,Children & Adolescents,Community,230 W 17TH ST,(212) 206-5200,6/30/22,yes,yes,4-6 weeks,4.0,6.0,5.0,1.0,1.5,40.7409512,-73.999838,"[-73.999838, 40.7409512]"
"Mental Health Providers of Western Queens, In",Western Queens Consultation Center,,,,,,,Sunnyside,11104.0,Queens,Children & Adolescents,Community,4404 QUEENS BLVD,718-706 -1663,7/1/22,yes,yes,4-8 weeks,4.0,8.0,6.0,1.0,2.0,40.7429177,-73.9204154,"[-73.9204154, 40.7429177]"
"Mental Health Providers of Western Queens, In",Western Queens Consultation Center: SBS Support Clinic,,,,,,,Jackson Heights,11372.0,Queens,Children & Adolescents,Community,3708 91ST ST,718-779- 2263,7/1/22,yes,yes,4-6 weeks or more,4.0,6.0,5.0,1.0,1.5,40.75032119999999,-73.8762024,"[-73.8762024, 40.75032119999999]"
The New York Presbyterian Hospital,NYP/Columbia U Medical Center Pediatric Psychiatric Clinic,,,,,,,New York,10032.0,New York,Children & Adolescents,Community,635 West 165 Street,212-305-6000,7/1/22,voicemail,,,,,,,,40.8398048,-73.9414011,"[-73.9414011, 40.8398048]"
Staten Island University Hospital,SIUH North Site Mental Health Clinic,,,,,,,Staten Island,10305.0,Richmond,Children & Adolescents,Community,450 SEAVIEW AVE,(718) 226-8910,7/1/22,yes,yes,~2 months,8.69,8.69,8.69,2.17,2.17,40.58401629999999,-74.0877939,"[-74.0877939, 40.58401629999999]"
The Children's Aid Society,Bronx Health Services Center,,,,,,,Bronx,10460.0,Bronx,Children & Adolescents,Community,910 E 172nd St,(347) 767-2200,6/30/22,yes,no,no list,,,,,,40.83388009999999,-73.89014420000001,"[-73.89014420000001, 40.83388009999999]"
"Sun River Health, Inc.",The Hub Health Center,,,,,,,Bronx,10455.0,Bronx,Children & Adolescents,Community,459 E 149th,855-681-8700 x 2,7/11/22,yes,no,no list,,,,,,40.8154183,-73.9151832,"[-73.9151832, 40.8154183]"
William F. Ryan Community Health Center,Ryan Center Annex,,,,,,,New York,10025.0,New York,Children & Adolescents,Community,801 Amsterdam,212-769-7200,7/1/2022,yes,yes,end of August,7.0,7.0,7.0,1.75,1.75,40.7959946,-73.9686316,"[-73.9686316, 40.7959946]"
William F. Ryan Community Health Center,Ryan-NENA Center,,,,,,,New York,10009.0,New York,Children & Adolescents,Community,279 E 3rd St,212-477-8500,7/1/2022,yes,yes,21st of July,2.0,2.0,2.0,0.5,0.5,40.7215718,-73.9800563,"[-73.9800563, 40.7215718]"
Ackerman Institute for the Family,Ackerman Institute for the Family,,,,,,,New York,10010.0,New York,Children & Adolescents,Community,936 BROADWAY,212-879-4900,7/6/22,yes,yes,"Fall, late september at earliest, ",11.0,13.0,12.0,2.75,3.25,40.7402503,-73.98911009999999,"[-73.98911009999999, 40.7402503]"
"Bleuler Psychotherapy Center, Inc.",Bleuler Psychotherapy Center,,,,,,,Forest Hills,11375.0,Queens,Children & Adolescents,Community,10470 QUEENS BLVD,718-275-6010,7/6/22,yes,yes,"2-3 weeks, After intake 6 weeks",8.0,9.0,8.5,2.0,2.25,40.7229758,-73.8483607,"[-73.8483607, 40.7229758]"
"Community Health Project, Inc.",Callen-Lorde Behavioral Health at T,,,,,,,New York,10011.0,New York,Adolescents,Community,230 W 17th St,(212) 271-7212,7/6/22,yes,yes,within a month,3.0,4.0,3.5,0.75,1.0,40.738087,-74.001046,"[-74.001046, 40.738087]"
"Hamaspik of Kings County, Inc.",Sipuk,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,Community,4102 14TH AVE,718-387- 8400,7/6/22,yes,yes,"1 month intake, 6-8 weeks for services",10.35,12.35,11.35,2.59,3.09,40.6394603,-73.9878238,"[-73.9878238, 40.6394603]"
New York City Children's Center,Queens Mid-Childhood Clinic,,,,,,,Bellerose,11426.0,Queens,Children & Adolescents,Community,74-03 Commonwealth Boulevard,(718) 264-4500,7/6/22,yes,no,no list,,,,,,40.7458334,-73.7264836,"[-73.7264836, 40.7458334]"
New York City Children's Center,Brooklyn Children's Behavioral Health Clinic,,,,,,,Brooklyn,11233.0,Kings,Children & Adolescents,Community,1819 Bergen Street,(718) 613-3100,7/6/22,yes,no,no list,,,,,,40.67480870000001,-73.9210561,"[-73.9210561, 40.67480870000001]"
"Northside Center for Child Development, Inc.",Northside Center for Child Development Clinic,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,1475 Park Ave,212-426-3400,7/6/22,yes,yes,"3-4 weeks for intake, 10+weeks for therapy",13.0,14.0,13.5,3.25,3.5,40.7938755,-73.9466822,"[-73.9466822, 40.7938755]"
Outreach Development Corporation,Richmond Hill Mental Health Clinic,,,,,,,Richmond Hill,11418.0,Queens,Adolescents,Community,117-11 Myrtle Avenue,718-849-6300,7/6/22,yes,yes,1 week,1.0,1.0,1.0,0.25,0.25,40.700275,-73.83201199999999,"[-73.83201199999999, 40.700275]"
"Safe Horizon, Inc.",Safe Horizon Counseling Center,Y,for families fleeing domestic violence,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,Community,50 COURT ST STE 901,347-328-8110 x 6919,7/6/22,yes,yes,1 week,1.0,1.0,1.0,0.25,0.25,40.6924381,-73.9913997,"[-73.9913997, 40.6924381]"
"Safe Horizon, Inc.",Safe Horizon Manhattan CPO Satellite,Y,for families fleeing domestic violence,,,,,New York,10035.0,New York,Children & Adolescents,Community,100 East 122nd St,347-328-8110 x 6919,7/6/22,yes,yes,1 week,1.0,1.0,1.0,0.25,0.25,40.8028436,-73.94000009999999,"[-73.94000009999999, 40.8028436]"
"Bridging Access to Care, Inc.",Bridge to Recovery,,,Y,representative said they don't take patients under 18,,,Brooklyn,11211.0,Kings,Children & Adolescents,Community,260 BROADWAY,347-505-5120,7/6/22,yes,,,,,,,,40.708693,-73.95957,"[-73.95957, 40.708693]"
The Institute for Family Health,Institute Center for Counseling at Cadman,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,Community,"300 Cadman Plaza West, 17th Floor",(718) 822-1818,7/6/22,yes,yes,late July or Early August,3.0,5.0,4.0,0.75,1.25,40.695169,-73.9910915,"[-73.9910915, 40.695169]"
"Sun River Health, Inc.",Westchester Square Health Center,,,,,,,Bronx,10461.0,Bronx,Children & Adolescents,Community,2510 Westchester Ave,855-681-8700 x 2,8/4/22,yes,no,no list,,,,,,40.839162,-73.8433307,"[-73.8433307, 40.839162]"
St. Barnabas Hospital,"SBH Behavioral Health Child, Adolescent, and Family Services",,,,,,,Bronx,10458.0,Bronx,Children & Adolescents,Community,260 E. 188th Street,718-960-3403,7/21/22,yes,no,no list,,,,,,40.8606063,-73.8960238,"[-73.8960238, 40.8606063]"
The Institute for Family Health,Institute Center for Counseling of Harlem,,,,,,,New York,10035.0,New York,Children & Adolescents,Community,1824 Madison Avenue,(212) 423-4200,7/6/22,yes,yes,late July or Early August,3.0,5.0,4.0,0.75,1.25,40.8018633,-73.9437432,"[-73.9437432, 40.8018633]"
University Settlement Society of New York,Victory Guild Psychiatric Consultation Center,,,,,,,New York,10002.0,New York,Children & Adolescents,Community,184 ELDRIDGE ST,212-453-4522,7/6/22,yes,yes,"End of september for intake, assignments (short staffed) can't tell 1 week - few months.",8.0,20.04,14.02,2.0,5.01,40.7203192,-73.9905807,"[-73.9905807, 40.7203192]"
St. Barnabas Hospital,SBH Pediatric Integrated Care,,,Y,"representative said they no longer offer mental health appointments, sent to other location",,,Bronx,10457.0,Bronx,Children & Adolescents,Community,,(718) 960-3730,7/21/22,yes,,,,,,,,40.8808938,-73.9048619,"[-73.9048619, 40.8808938]"
"Sheltering Arms Children and Family Services,",Sheltering Arms Children and Family,,,Y,clinic director said this location is closed,,,Bronx,10455.0,Bronx,Children & Adolescents,Community,432 E 149th Street,212-937-1425,8/4/22,yes,,,,,,,,40.8151598,-73.9162566,"[-73.9162566, 40.8151598]"
Blanton-Peale Institute,Blanton-Peale Institute,,,,,,,New York,10001.0,New York,Children & Adolescents,Community,7 W 30TH ST,212-725-7850,7/7/22,yes,yes,"1 month for intake, 4-8 weeks for therapy",8.35,12.35,10.35,2.09,3.09,40.7464808,-73.9871234,"[-73.9871234, 40.7464808]"
Brookdale Hospital Medical Center,Interfaith Medical Center Mental Health Clinic,,,,,,,Brooklyn,11213.0,Kings,Children & Adolescents,Community,1545 Atlantic Ave,718-613-4000,7/7/22,yes,no,no list,,,,,,40.6783744,-73.93740749999999,"[-73.93740749999999, 40.6783744]"
Jewish Board of Family & Children's Services,Crown Heights Satellite Center,,,,,,,Brooklyn,11213.0,Kings,Children & Adolescents,Community,1055 St. Johns Place,718.773.2080,7/7/22,yes,yes,"month to three four months, ",4.35,17.38,10.86,1.0,4.0,40.6715308,-73.9430114,"[-73.9430114, 40.6715308]"
"Catholic Charities Neighborhood Services, Inc",CCNS Rockaway Mental Health Services,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,Community,1847 MOTT AVE,718-337-6800,7/7/22,yes,yes,2-3 weeks,2.0,3.0,2.5,0.5,0.75,40.6032959,-73.7515298,"[-73.7515298, 40.6032959]"
"Catholic Charities Neighborhood Services, Inc",CCNS Jamaica Behavioral Health Clinic,,,,,,,Jamaica,11432.0,Queens,Children & Adolescents,Community,16110 JAMAICA AVE,718-704-5488,7/7/22,yes,no,no list,,,,,,40.7037585,-73.7978388,"[-73.7978388, 40.7037585]"
"Catholic Charities Neighborhood Services, Inc",CCNS Glendale Mental Health Clinic,,,,,,,Glendale,11385.0,Queens,Children & Adolescents,Community,6729 MYRTLE AVE,718-456-7001,7/7/22,yes,no,no list,,,,,,40.70179830000001,-73.8855047,"[-73.8855047, 40.70179830000001]"
"Catholic Charities Neighborhood Services, Inc",CCNS Corona Behavioral Health Clinic,,,,,,,Jackson Heights,11372.0,Queens,Children & Adolescents,Community,9114 37TH AVE,718-779-1831,7/7/22,yes,yes,2-3 weeks,2.0,2.0,2.0,0.5,0.5,40.7494533,-73.8856583,"[-73.8856583, 40.7494533]"
"Catholic Charities Neighborhood Services, Inc",Flatbush Behavioral Health Clinic,,,,,,,Brooklyn,11210.0,Kings,Children & Adolescents,Community,1463 FLATBUSH AVE,718-951-9009,7/7/22,yes,no,no list,,,,,,40.6311073,-73.9450749,"[-73.9450749, 40.6311073]"
"Samaritan Daytop Village, Inc.",Samaritan Community Counseling Center,,,,,,,Bronx,10455.0,Bronx,Children & Adolescents,Community,2780 3RD AVE,718-665-2456,8/2/22,voicemail,,,,,,,,40.8148498,-73.9201899,"[-73.9201899, 40.8148498]"
Episcopal Health Services Inc.,St. John's Episcopal South Shore Division CMHC,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,Community,521 BEACH 20TH ST,718-869-8822,7/7/22,yes,no,no list,,,,,,40.6002024,-73.75410620000001,"[-73.75410620000001, 40.6002024]"
Graham-Windham Services for Families & Childr,Webster Avenue Mental Health Center,,,,,,,Bronx,10457.0,New York,Children & Adolescents,Community,1946 Webster Avenue,212-368-4100,7/7/22,yes,yes,"Late august, early september, people on wait list from April and May,",7.0,9.0,8.0,1.75,2.25,40.8489767,-73.8999511,"[-73.8999511, 40.8489767]"
Graham-Windham Services for Families & Childr,Graham-Windham Manhattan Center,,,,,,,New York,10039.0,New York,Children & Adolescents,Community,274 W 145TH ST,212-368-4100,7/7/22,yes,yes,"Late august, early september, people on wait list from April and May,",7.0,9.0,8.0,1.75,2.25,40.82248329999999,-73.9414958,"[-73.9414958, 40.82248329999999]"
Jewish Board of Family & Children's Services,JBFCS - Pride of Judea Mental Health Center,,,,,,,Douglaston,11362.0,Queens,Children & Adolescents,Community,24302 Northern Blvd,(718) 423-6200,7/7/22,yes,yes,3 months,13.04,13.04,13.04,3.26,3.26,40.765224,-73.7427,"[-73.7427, 40.765224]"
Jewish Board of Family & Children's Services,JBFCS - Bay Ridge Counseling Center,,,,,,,Brooklyn,11209.0,Kings,Children & Adolescents,Community,"9201 4th Avenue, 2nd Floor",718.238.6444,7/7/22,yes,yes,"less than a month intake, 2 months",8.69,11.69,10.19,2.17,2.92,40.6180352,-74.029786,"[-74.029786, 40.6180352]"
"Metropolitan Center for Mental Health, Inc.",MCMH - Washington Heights,,,,,,,New York,10032.0,New York,Children & Adolescents,Community,1090 St. Nicholas Avenue,(212) 543-0777,7/7/22,yes,no,no list,,,,,,40.838188,-73.9395183,"[-73.9395183, 40.838188]"
Association to Benefit Children,Children's Mobile Mental Health Clinic,,,,,Y,crisis response,New York,10035.0,New York,Children & Adolescents,Community,,212-971-1200,7/7/22,yes,,,,,,,,40.8056792,-73.9380487,"[-73.9380487, 40.8056792]"
JGB Mental Health and Mental Retardation Svcs,"JGB Mental Health and Mental Retardation Services, Inc. CTP",Y,children with vision impairment,,,,,New York,10023.0,New York,Children & Adolescents,Community,250 W 64TH ST,212-769-6257,7/8/22,yes,yes,3 month wait list,13.04,13.04,13.04,3.26,3.26,40.7743375,-73.98817319999999,"[-73.98817319999999, 40.7743375]"
Korean Community Services of Metropolitan NY,KCS Mental Health Clinic,,,,,,,Flushing,11358.0,Queens,Adolescents,Community,4216 162ND ST,718-366-9540,7/8/22,yes,yes,more than 6 weeks,7.0,9.0,8.0,1.75,2.25,40.759775,-73.80434199999999,"[-73.80434199999999, 40.759775]"
"Lexington Center for Mental Health Services,","Lexington Center for Mental Health Services, Inc.",,,,,,,East Elmhurst,11370.0,Queens,Children & Adolescents,Community,2626 75TH ST,718-350-3148,7/8/22,yes,no,no list,,,,,,40.7613375,-73.8940022,"[-73.8940022, 40.7613375]"
Long Island Jewish Medical Center,The Zucker Hillside Ambulatory Care Clinic,,,,,,,Glen Oaks,11004.0,Queens,Children & Adolescents,Community,7559 263RD ST,718-470-8100,7/8/22,yes,no,no list,,,,,,40.7527356,-73.7114873,"[-73.7114873, 40.7527356]"
